s,C,C,C,kg/m2/s,m,kW/m2,kW/m2
Time,"Tz0","Tz3","Tz6","MLR","thick","radiative hf","incident hf"
 0.0000000E+000, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001, 0.0000000E+000, 1.8000000E-002,-1.1368684E-016, 4.4807517E-001
 5.0000000E-001, 6.5297625E+001, 2.5000000E+001, 2.5000000E+001, 5.3005125E-019, 1.8000000E-002, 4.9700673E+001, 5.0448075E+001
 1.0000000E+000, 9.8098268E+001, 2.5000000E+001, 2.5000000E+001, 2.2236824E-016, 1.8000000E-002, 4.9371522E+001, 5.0448075E+001
 1.5000000E+000, 1.1831827E+002, 2.5000000E+001, 2.5000000E+001, 1.1572162E-014, 1.8000000E-002, 4.9117457E+001, 5.0448075E+001
 2.0000000E+000, 1.3416650E+002, 2.5000001E+001, 2.5000000E+001, 2.2314856E-013, 1.8000000E-002, 4.8888538E+001, 5.0448075E+001
 2.5100000E+000, 1.4762323E+002, 2.5000037E+001, 2.5000000E+001, 2.4444269E-012, 1.8000000E-002, 4.8671891E+001, 5.0448075E+001
 3.0100000E+000, 1.5936691E+002, 2.5000370E+001, 2.5000000E+001, 1.7643308E-011, 1.8000000E-002, 4.8465075E+001, 5.0448075E+001
 3.5100000E+000, 1.6975455E+002, 2.5001984E+001, 2.5000000E+001, 9.4527976E-011, 1.8000000E-002, 4.8267493E+001, 5.0448075E+001
 4.0100000E+000, 1.7919054E+002, 2.5007145E+001, 2.5000000E+001, 4.0891236E-010, 1.8000000E-002, 4.8075537E+001, 5.0448075E+001
 4.5100000E+000, 1.8786204E+002, 2.5019644E+001, 2.5000000E+001, 1.4965670E-009, 1.8000000E-002, 4.7888210E+001, 5.0448075E+001
 5.0100000E+000, 1.9590117E+002, 2.5044610E+001, 2.5000000E+001, 4.7877621E-009, 1.8000000E-002, 4.7704831E+001, 5.0448075E+001
 5.5100000E+000, 2.0340707E+002, 2.5088044E+001, 2.5000000E+001, 1.3716101E-008, 1.8000000E-002, 4.7524888E+001, 5.0448075E+001
 6.0100000E+000, 2.1045558E+002, 2.5156300E+001, 2.5000000E+001, 3.5831639E-008, 1.8000000E-002, 4.7347984E+001, 5.0448075E+001
 6.5100000E+000, 2.1710399E+002, 2.5255624E+001, 2.5000000E+001, 8.6535686E-008, 1.8000000E-002, 4.7173879E+001, 5.0448075E+001
 7.0100000E+000, 2.2340145E+002, 2.5391821E+001, 2.5000001E+001, 1.9538916E-007, 1.8000000E-002, 4.7002299E+001, 5.0448075E+001
 7.5100000E+000, 2.2938697E+002, 2.5570047E+001, 2.5000003E+001, 4.1613774E-007, 1.8000000E-002, 4.6833052E+001, 5.0448075E+001
 8.0100000E+000, 2.3509216E+002, 2.5794674E+001, 2.5000008E+001, 8.4201689E-007, 1.8000000E-002, 4.6666003E+001, 5.0448075E+001
 8.5100000E+000, 2.4054315E+002, 2.6068926E+001, 2.5000021E+001, 1.6282326E-006, 1.8000000E-002, 4.6501052E+001, 5.0448075E+001
 9.0100000E+000, 2.4576510E+002, 2.6395655E+001, 2.5000048E+001, 3.0244193E-006, 1.8000000E-002, 4.6338031E+001, 5.0448075E+001
 9.5100000E+000, 2.5077536E+002, 2.6777070E+001, 2.5000102E+001, 5.4185359E-006, 1.8000000E-002, 4.6176918E+001, 5.0448075E+001
 1.0010000E+001, 2.5559203E+002, 2.7214263E+001, 2.5000203E+001, 9.3970214E-006, 1.8000000E-002, 4.6017613E+001, 5.0448075E+001
 1.0510000E+001, 2.6022933E+002, 2.7708131E+001, 2.5000380E+001, 1.5822566E-005, 1.8000000E-002, 4.5860070E+001, 5.0448075E+001
 1.1010000E+001, 2.6469908E+002, 2.8258604E+001, 2.5000673E+001, 2.5935910E-005, 1.8000000E-002, 4.5704281E+001, 5.0448075E+001
 1.1510000E+001, 2.6901383E+002, 2.8865596E+001, 2.5001137E+001, 4.1480959E-005, 1.8000000E-002, 4.5550161E+001, 5.0448075E+001
 1.2010000E+001, 2.7318072E+002, 2.9528514E+001, 2.5001841E+001, 6.4848218E-005, 1.8000000E-002, 4.5397789E+001, 5.0448075E+001
 1.2510000E+001, 2.7720795E+002, 3.0246353E+001, 2.5002875E+001, 9.9263579E-005, 1.8000000E-002, 4.5247171E+001, 5.0448075E+001
 1.3010000E+001, 2.8110160E+002, 3.1017897E+001, 2.5004345E+001, 1.4897886E-004, 1.8000000E-002, 4.5098371E+001, 5.0448075E+001
 1.3510000E+001, 2.8486610E+002, 3.1841877E+001, 2.5006381E+001, 2.1947562E-004, 1.8000000E-002, 4.4951491E+001, 5.0448075E+001
 1.4010000E+001, 2.8850381E+002, 3.2716569E+001, 2.5009131E+001, 3.1764539E-004, 1.8000000E-002, 4.4806704E+001, 5.0448075E+001
 1.4510000E+001, 2.9201513E+002, 3.3640459E+001, 2.5012765E+001, 4.5195385E-004, 1.8000000E-002, 4.4664252E+001, 5.0448075E+001
 1.5010000E+001, 2.9539973E+002, 3.4611581E+001, 2.5017476E+001, 6.3242185E-004, 1.8000000E-002, 4.4524397E+001, 5.0448075E+001
 1.5510000E+001, 2.9865356E+002, 3.5628360E+001, 2.5023475E+001, 8.7051383E-004, 1.8000000E-002, 4.4387567E+001, 5.0448075E+001
 1.6010000E+001, 3.0177247E+002, 3.6688653E+001, 2.5030993E+001, 1.1786797E-003, 1.8000000E-002, 4.4254199E+001, 5.0448075E+001
 1.6510000E+001, 3.0475021E+002, 3.7790605E+001, 2.5040281E+001, 1.5696338E-003, 1.8000000E-002, 4.4124812E+001, 5.0448075E+001
 1.7010000E+001, 3.0757939E+002, 3.8932301E+001, 2.5051605E+001, 2.0551594E-003, 1.8000000E-002, 4.4000012E+001, 5.0448075E+001
 1.7510000E+001, 3.1025197E+002, 4.0111873E+001, 2.5065249E+001, 2.6445419E-003, 1.8000000E-002, 4.3880422E+001, 5.0448075E+001
 1.8000000E+001, 3.1273704E+002, 4.1315134E+001, 2.5081326E+001, 3.3354736E-003, 1.8000000E-002, 4.3767731E+001, 5.0448075E+001
 1.8500000E+001, 3.1505597E+002, 4.2551736E+001, 2.5100275E+001, 4.1334680E-003, 1.8000000E-002, 4.3661264E+001, 5.0448075E+001
 1.9000000E+001, 3.1722906E+002, 4.3832736E+001, 2.5122630E+001, 5.0412157E-003, 1.8000000E-002, 4.3560338E+001, 5.0448075E+001
 1.9500000E+001, 3.1923218E+002, 4.5144348E+001, 2.5148547E+001, 6.0381878E-003, 1.8000000E-002, 4.3466305E+001, 5.0448075E+001
 2.0000000E+001, 3.2107149E+002, 4.6484388E+001, 2.5178357E+001, 7.1057538E-003, 1.8000000E-002, 4.3379115E+001, 5.0448075E+001
 2.0500000E+001, 3.2275657E+002, 4.7851090E+001, 2.5212399E+001, 8.2209846E-003, 1.8000000E-002, 4.3298521E+001, 5.0448075E+001
 2.1000000E+001, 3.2430071E+002, 4.9243015E+001, 2.5251013E+001, 9.3601642E-003, 1.8000000E-002, 4.3224068E+001, 5.0448075E+001
 2.1500000E+001, 3.2571753E+002, 5.0658059E+001, 2.5294541E+001, 1.0499767E-002, 1.8000000E-002, 4.3155242E+001, 5.0448075E+001
 2.2000000E+001, 3.2702727E+002, 5.2094538E+001, 2.5343326E+001, 1.1619106E-002, 1.8000000E-002, 4.3091185E+001, 5.0448075E+001
 2.2500000E+001, 3.2824331E+002, 5.3551020E+001, 2.5397708E+001, 1.2700499E-002, 1.8000000E-002, 4.3031337E+001, 5.0448075E+001
 2.3000000E+001, 3.2938415E+002, 5.5025972E+001, 2.5458026E+001, 1.3731332E-002, 1.8000000E-002, 4.2974868E+001, 5.0448075E+001
 2.3500000E+001, 3.3046217E+002, 5.6516888E+001, 2.5524614E+001, 1.4700861E-002, 1.8000000E-002, 4.2921215E+001, 5.0448075E+001
 2.4000000E+001, 3.3149489E+002, 5.8023042E+001, 2.5597804E+001, 1.5605256E-002, 1.8000000E-002, 4.2869550E+001, 5.0448075E+001
 2.4500000E+001, 3.3249076E+002, 5.9542369E+001, 2.5677922E+001, 1.6440064E-002, 1.8000000E-002, 4.2819484E+001, 5.0448075E+001
 2.5000000E+001, 3.3346115E+002, 6.1073674E+001, 2.5765296E+001, 1.7204684E-002, 1.8000000E-002, 4.2770463E+001, 5.0448075E+001
 2.5500000E+001, 3.3441292E+002, 6.2615084E+001, 2.5860251E+001, 1.7899879E-002, 1.8000000E-002, 4.2722155E+001, 5.0448075E+001
 2.6000000E+001, 3.3535485E+002, 6.4165411E+001, 2.5962947E+001, 1.8527772E-002, 1.8000000E-002, 4.2674129E+001, 5.0448075E+001
 2.6500000E+001, 3.3629252E+002, 6.5722967E+001, 2.6073698E+001, 1.9092487E-002, 1.8000000E-002, 4.2626099E+001, 5.0448075E+001
 2.7000000E+001, 3.3722945E+002, 6.7286818E+001, 2.6192815E+001, 1.9596141E-002, 1.8000000E-002, 4.2577890E+001, 5.0448075E+001
 2.7500000E+001, 3.3816985E+002, 6.8854837E+001, 2.6320571E+001, 2.0044341E-002, 1.8000000E-002, 4.2529275E+001, 5.0448075E+001
 2.8000000E+001, 3.3911445E+002, 7.0427442E+001, 2.6457229E+001, 2.0440396E-002, 1.8000000E-002, 4.2480220E+001, 5.0448075E+001
 2.8500000E+001, 3.4006677E+002, 7.2002037E+001, 2.6603042E+001, 2.0789862E-002, 1.8000000E-002, 4.2430534E+001, 5.0448075E+001
 2.9000000E+001, 3.4102752E+002, 7.3578260E+001, 2.6758269E+001, 2.1097350E-002, 1.8000000E-002, 4.2380177E+001, 5.0448075E+001
 2.9500000E+001, 3.4199658E+002, 7.5154881E+001, 2.6923101E+001, 2.1368232E-002, 1.8000000E-002, 4.2329136E+001, 5.0448075E+001
 3.0000000E+001, 3.4297290E+002, 7.6731475E+001, 2.7097616E+001, 2.1606359E-002, 1.8000000E-002, 4.2277477E+001, 5.0448075E+001
 3.0500000E+001, 3.4395742E+002, 7.8307180E+001, 2.7282095E+001, 2.1817856E-002, 1.8000000E-002, 4.2225129E+001, 5.0448075E+001
 3.1000000E+001, 3.4494803E+002, 7.9881150E+001, 2.7476752E+001, 2.2005088E-002, 1.8000000E-002, 4.2172205E+001, 5.0448075E+001
 3.1500000E+001, 3.4594316E+002, 8.1452924E+001, 2.7681796E+001, 2.2173838E-002, 1.8000000E-002, 4.2118780E+001, 5.0448075E+001
 3.2000000E+001, 3.4694383E+002, 8.3021819E+001, 2.7897395E+001, 2.2325672E-002, 1.8000000E-002, 4.2064801E+001, 5.0448075E+001
 3.2500000E+001, 3.4794383E+002, 8.4587722E+001, 2.8123394E+001, 2.2464780E-002, 1.8000000E-002, 4.2010588E+001, 5.0448075E+001
 3.3000000E+001, 3.4894867E+002, 8.6150270E+001, 2.8360058E+001, 2.2591732E-002, 1.8000000E-002, 4.1955856E+001, 5.0448075E+001
 3.3500000E+001, 3.4994871E+002, 8.7708775E+001, 2.8607588E+001, 2.2710457E-002, 1.8000000E-002, 4.1901111E+001, 5.0448075E+001
 3.4000000E+001, 3.5095271E+002, 8.9263187E+001, 2.8866138E+001, 2.2819481E-002, 1.8000000E-002, 4.1845894E+001, 5.0448075E+001
 3.4500000E+001, 3.5194965E+002, 9.0813585E+001, 2.9135579E+001, 2.2922153E-002, 1.8000000E-002, 4.1790794E+001, 5.0448075E+001
 3.5000000E+001, 3.5294932E+002, 9.2359292E+001, 2.9416086E+001, 2.3016203E-002, 1.8000000E-002, 4.1735280E+001, 5.0448075E+001
 3.5500000E+001, 3.5394044E+002, 9.3900850E+001, 2.9707862E+001, 2.3104981E-002, 1.8000000E-002, 4.1679978E+001, 5.0448075E+001
 3.6000000E+001, 3.5493332E+002, 9.5437349E+001, 3.0010828E+001, 2.3186205E-002, 1.8000000E-002, 4.1624312E+001, 5.0448075E+001
 3.6500000E+001, 3.5591755E+002, 9.6969583E+001, 3.0324780E+001, 2.3262222E-002, 1.8000000E-002, 4.1568871E+001, 5.0448075E+001
 3.7000000E+001, 3.5690181E+002, 9.8496700E+001, 3.0650031E+001, 2.3331831E-002, 1.8000000E-002, 4.1513165E+001, 5.0448075E+001
 3.7500000E+001, 3.5787887E+002, 1.0001986E+002, 3.0986599E+001, 2.3396080E-002, 1.8000000E-002, 4.1457611E+001, 5.0448075E+001
 3.8000000E+001, 3.5885343E+002, 1.0153753E+002, 3.1334288E+001, 2.3455572E-002, 1.8000000E-002, 4.1401936E+001, 5.0448075E+001
 3.8500000E+001, 3.5982208E+002, 1.0305123E+002, 3.1693379E+001, 2.3509371E-002, 1.8000000E-002, 4.1346348E+001, 5.0448075E+001
 3.9000000E+001, 3.6078659E+002, 1.0455969E+002, 3.2063685E+001, 2.3559062E-002, 1.8000000E-002, 4.1290741E+001, 5.0448075E+001
 3.9500000E+001, 3.6174644E+002, 1.0606413E+002, 3.2444968E+001, 2.3603555E-002, 1.8000000E-002, 4.1235151E+001, 5.0448075E+001
 4.0000000E+001, 3.6270121E+002, 1.0756365E+002, 3.2837559E+001, 2.3644435E-002, 1.8000000E-002, 4.1179605E+001, 5.0448075E+001
 4.0500000E+001, 3.6365155E+002, 1.0905893E+002, 3.3241174E+001, 2.3681043E-002, 1.8000000E-002, 4.1124065E+001, 5.0448075E+001
 4.1000000E+001, 3.6459671E+002, 1.1054958E+002, 3.3655976E+001, 2.3713638E-002, 1.8000000E-002, 4.1068584E+001, 5.0448075E+001
 4.1500000E+001, 3.6553681E+002, 1.1203610E+002, 3.4081818E+001, 2.3743466E-002, 1.8000000E-002, 4.1013150E+001, 5.0448075E+001
 4.2000000E+001, 3.6647188E+002, 1.1351820E+002, 3.4518398E+001, 2.3768921E-002, 1.8000000E-002, 4.0957774E+001, 5.0448075E+001
 4.2500000E+001, 3.6740122E+002, 1.1499618E+002, 3.4966006E+001, 2.3792779E-002, 1.8000000E-002, 4.0902492E+001, 5.0448075E+001
 4.3000000E+001, 3.6832628E+002, 1.1647006E+002, 3.5424333E+001, 2.3811898E-002, 1.8000000E-002, 4.0847231E+001, 5.0448075E+001
 4.3510000E+001, 3.6925428E+002, 1.1795431E+002, 3.5898378E+001, 2.3829840E-002, 1.8000000E-002, 4.0791546E+001, 5.0448075E+001
 4.4010000E+001, 3.7017761E+002, 1.1943481E+002, 3.6382998E+001, 2.3843832E-002, 1.8000000E-002, 4.0735909E+001, 5.0448075E+001
 4.4510000E+001, 3.7108596E+002, 1.2089623E+002, 3.6873558E+001, 2.3856158E-002, 1.8000000E-002, 4.0680933E+001, 5.0448075E+001
 4.5010000E+001, 3.7198946E+002, 1.2235447E+002, 3.7374541E+001, 2.3865614E-002, 1.8000000E-002, 4.0626023E+001, 5.0448075E+001
 4.5510000E+001, 3.7288779E+002, 1.2380800E+002, 3.7886110E+001, 2.3873248E-002, 1.8000000E-002, 4.0571198E+001, 5.0448075E+001
 4.6010000E+001, 3.7378015E+002, 1.2525877E+002, 3.8407737E+001, 2.3878760E-002, 1.8000000E-002, 4.0516509E+001, 5.0448075E+001
 4.6510000E+001, 3.7466787E+002, 1.2670499E+002, 3.8939660E+001, 2.3882119E-002, 1.8000000E-002, 4.0461882E+001, 5.0448075E+001
 4.7010000E+001, 3.7554875E+002, 1.2814816E+002, 3.9481653E+001, 2.3883733E-002, 1.8000000E-002, 4.0407451E+001, 5.0448075E+001
 4.7510000E+001, 3.7642600E+002, 1.2958778E+002, 4.0033812E+001, 2.3883637E-002, 1.8000000E-002, 4.0353023E+001, 5.0448075E+001
 4.8010000E+001, 3.7729689E+002, 1.3102356E+002, 4.0595643E+001, 2.3881752E-002, 1.8000000E-002, 4.0298772E+001, 5.0448075E+001
 4.8510000E+001, 3.7816292E+002, 1.3245668E+002, 4.1167357E+001, 2.3878636E-002, 1.8000000E-002, 4.0244610E+001, 5.0448075E+001
 4.9010000E+001, 3.7902295E+002, 1.3388543E+002, 4.1748882E+001, 2.3873525E-002, 1.8000000E-002, 4.0190606E+001, 5.0448075E+001
 4.9510000E+001, 3.7987751E+002, 1.3531182E+002, 4.2339871E+001, 2.3867969E-002, 1.8000000E-002, 4.0136732E+001, 5.0448075E+001
 5.0010000E+001, 3.8072742E+002, 1.3673451E+002, 4.2940379E+001, 2.3860099E-002, 1.8000000E-002, 4.0082942E+001, 5.0448075E+001
 5.0510000E+001, 3.8157156E+002, 1.3815398E+002, 4.3550301E+001, 2.3852016E-002, 1.8000000E-002, 4.0029309E+001, 5.0448075E+001
 5.1010000E+001, 3.8241052E+002, 1.3957060E+002, 4.4169565E+001, 2.3841749E-002, 1.8000000E-002, 3.9975802E+001, 5.0448075E+001
 5.1510000E+001, 3.8324368E+002, 1.4098386E+002, 4.4797884E+001, 2.3831349E-002, 1.8000000E-002, 3.9922458E+001, 5.0448075E+001
 5.2010000E+001, 3.8407144E+002, 1.4239431E+002, 4.5435329E+001, 2.3819332E-002, 1.8000000E-002, 3.9869261E+001, 5.0448075E+001
 5.2510000E+001, 3.8489413E+002, 1.4380142E+002, 4.6081857E+001, 2.3806694E-002, 1.8000000E-002, 3.9816187E+001, 5.0448075E+001
