time (s),MLR (kg/s),thikness (m),T(z=0),T(z=3),T(z=6),C_A (kg/m^3),C_B (kg/m^3),C_C (kg/m^3)
0.0,0.0,0.018,298.0,298.0,298.0,1430.0,0.0,0.0
0.5,4.286467e-18,0.018,340.11519000000004,298.0,298.0,1430.0,6.770965e-21,9.709681e-44
1.0,9.991289e-16,0.018,358.53423000000004,298.0,298.0,1430.0,1.354193025e-20,3.883872075e-43
1.5,3.689134000000004e-14,0.018,372.50219000000004,298.0000325,298.0,1430.0,2.0312921e-20,8.738727225000001e-43
2.0,5.657401000000057e-13,0.018,384.30222249999997,298.000375,298.0,1430.0,2.70842355e-20,1.5535830999999998e-42
2.5,5.117106000000326e-12,0.018,394.75508,298.00186499999995,298.0,1430.0,3.385743525e-20,2.4277170499999998e-42
3.0,3.242068000000978e-11,0.018,404.25077749999997,298.0058,298.0,1430.0,4.063664625e-20,3.4969744999999996e-42
3.5,1.5875180000018188e-10,0.018,413.009515,298.014395,298.0,1430.0,4.743059975e-20,4.763178775e-42
4.0,6.391747000023559e-10,0.018,421.17137,298.0306975,298.0,1430.0,5.4255703e-20,6.230413675e-42
4.5,2.2062170000229676e-09,0.018,428.8328025,298.058835,298.0,1430.0,6.114065975e-20,7.907000275e-42
5.0,6.724038000178006e-09,0.018,436.06462500000004,298.1038775,298.0,1430.0,6.81325715e-20,9.80871525e-42
5.5,1.84924300011418e-08,0.018,442.921045,298.1713875,298.0,1430.0,7.530522675e-20,1.196417825e-41
6.0,4.6653420006248876e-08,0.018,449.44498,298.26680999999996,298.0,1430.0,8.277168625e-20,1.4424683499999997e-41
6.5,1.0935680002987586e-07,0.018,455.671205,298.3955025,298.0000025,1430.0,9.070553674999998e-20,1.7284299749999995e-41
7.0,2.405904001271347e-07,0.018,461.62861250000003,298.56248,298.0000025,1430.0,9.937911199999998e-20,2.0725504249999997e-41
7.5,5.008721004888478e-07,0.018,467.34141,298.7718575,298.0000075,1430.0,1.0923420749999997e-19,2.513124324999998e-41
8.0,9.93328601719482e-07,0.018,472.830355,299.027245,298.000015,1430.0,1.2101554249999992e-19,3.137869924999996e-41
8.5,1.887039005589409e-06,0.018,478.1133825,299.33148,298.0000325,1430.0,1.3602462999999985e-19,4.1650397999999977e-41
9.0,3.44988601693512e-06,0.018,483.20593249999996,299.6868225,298.00015499999995,1430.0,1.5661050249999985e-19,6.177269474999987e-41
9.5,6.09348604817263e-06,0.018,488.12172499999997,300.09475999999995,298.00019499999996,1430.0,1.871218474999996e-19,1.0820093474999967e-40
10.0,1.04330901294413e-05,0.018,492.87253499999997,300.556215,298.00045,1430.0,2.357689024999992e-19,2.2948798424999848e-40
10.5,1.73654103302904e-05,0.018,497.46899,301.0717325,298.00073249999997,1430.0,3.1827596749999867e-19,5.737608349999967e-40
11.0,2.81673708039724e-05,0.018,501.9203025,301.6412925,298.001145,1430.0,4.650583274999971e-19,1.604424776749992e-39
11.5,4.4618021874179e-05,0.018,506.23450249999996,302.2645,298.0017975,1430.0,7.35318522499999e-19,4.7980651162499885e-39
12.0,6.914466419832801e-05,0.018,510.41850249999993,302.9408775,298.002795,1430.0,1.244674144999991e-18,1.491993545499991e-38
12.5,0.00010499180906364,0.018,514.4781975,303.6692825,298.0042475,1430.0,2.2191062974999926e-18,4.747167344250005e-38
13.0,0.00015640691890482,0.018,518.418465,304.4485825,298.0061625,1430.0,4.09978243249998e-18,1.5307772465499883e-37
13.5,0.00022882973817687,0.018,522.2427425,305.27746499999995,298.00874749999997,1430.0,7.74546057749993e-18,4.971271470049955e-37
14.0,0.00032906337477251,0.018,525.953615,306.15454,298.01221000000004,1430.0,1.4820489179999918e-17,1.6185029564724913e-36
14.5,0.0004653870422342,0.018,529.5521075,307.0781225,298.0166625,1430.0,2.85325989974998e-17,5.263754702649981e-36
15.0,0.0006475592630571,0.018,533.038125,308.0465475,298.0223075,1430.0,5.502336635999979e-17,1.7050851687212444e-35
15.5,0.0008866385733765,0.018,536.4100775,309.0580625,298.0294525,1430.0,1.0596391012999948e-16,5.487927366057462e-35
16.0,0.0011945438292309,0.018,539.6651125000001,310.11101,298.0382075,1430.0,2.0335141942499868e-16,1.751433516797741e-34
16.5,0.001583283414318,0.018,542.7992800000001,311.20356,298.048975,1430.0,3.882798129499999e-16,5.532880025488465e-34
17.0,0.002063832348684,0.018,545.8077324999999,312.3338775,298.06186499999995,1430.0,7.367999373499926e-16,1.727612065386587e-33
17.5,0.002644706797145,0.018,548.6852775,313.500135,298.0772775,1430.0,1.3882772428499922e-15,5.325274663776927e-33
18.0,0.003330438975563,0.018,551.427065,314.70071,298.0954175,1430.0,2.5954982785999857e-15,1.6187697950024087e-32
18.5,0.004120224152834,0.018,554.0293175,315.9336875,298.1166925,1430.0,4.8121424951499535e-15,4.848326391171895e-32
19.0,0.0050071296468,0.018,556.4901175,317.19725,298.14140000000003,1430.0,8.843632091024949e-15,1.4296749992623472e-31
19.5,0.00597812781362,0.018,558.80996,318.48978500000004,298.16974749999997,1430.0,1.610394309547492e-14,4.148070456115019e-31
20.0,0.00701508203188,0.018,560.991975,319.80967250000003,298.20223,1430.0,2.9047258613499765e-14,1.1835405850262043e-30
20.5,0.008096487684520001,0.018,563.0422275000001,321.15501,298.2391525,1430.0,5.188398873949971e-14,3.319312661093667e-30
21.0,0.00919960214237,0.018,564.9691525,322.524185,298.28072,1430.0,9.175262195074911e-14,9.146810309540513e-30
21.5,0.01030248875216,0.018,566.782815,323.915685,298.327325,1430.0,1.6061180130299878e-13,2.475723310202933e-29
22.0,0.01138560883093,0.018,568.4946874999999,325.327705,298.37937,1430.0,2.7825397876774854e-13,6.579962618305493e-29
22.5,0.0124328126663,0.018,570.1165550000001,326.758835,298.437155,1430.0,4.770394331114953e-13,1.716860273451748e-28
23.0,0.0134316605216,0.018,571.6601049999999,328.20727750000003,298.5008775,1430.0,8.092360203349946e-13,4.397047546826069e-28
23.5,0.0143733426431,0.018,573.13654,329.6716275,298.571035,1430.0,1.358239408697488e-12,1.1052270094049468e-27
24.0,0.015252219269,0.018,574.556145,331.15029,298.647925,1430.0,2.2555132108799795e-12,2.7263450189776573e-27
24.5,0.016065310636899997,0.018,575.9284875000001,332.6417775,298.7317475,1430.0,3.705834303452466e-12,6.600110038428218e-27
25.0,0.0168117169914,0.018,577.2616399999999,334.1446,298.82289749999995,1430.0,6.024449649285003e-12,1.5681687578004353e-26
25.5,0.0174921185888,0.018,578.5630675,335.6572775,298.92157499999996,1430.0,9.691149221942438e-12,3.65732251585704e-26
26.0,0.018108385701399998,0.018,579.839095,337.1786275,299.02817,1430.0,1.542805053512487e-11,8.374277532252746e-26
26.5,0.0186632686199,0.018,581.094995,338.707085,299.142885,1430.0,2.431031649874968e-11,1.8830260065582091e-25
27.0,0.0191601376542,0.018,582.3355425000001,340.2414775,299.2660125,1430.0,3.792221614307474e-11,4.159345013321052e-25
27.5,0.019602843133399998,0.018,583.5642375,341.780635,299.39775,1430.0,5.857493266204958e-11,9.02837002700953e-25
28.0,0.019995565404900002,0.018,584.78437,343.3234975,299.5383925,1430.0,8.960809587019892e-11,1.926569255463036e-24
28.5,0.0203427348324,0.018,585.9983325000001,344.86899750000003,299.6881375,1430.0,1.35803434487799e-10,4.043350011016167e-24
29.0,0.0206489317937,0.018,587.207785,346.41608249999996,299.847275,1430.0,2.039484023412485e-10,8.349932522134591e-24
29.5,0.0209187566779,0.018,588.4142775,347.9638875,300.01590500000003,1430.0,3.035979692077466e-10,1.6975487544294025e-23
30.0,0.021156799883,0.018,589.6184275,349.51175,300.1943225,1430.0,4.4809778915399773e-10,3.3992175088240225e-23
30.5,0.021367461815000002,0.018,590.8208525,351.05881500000004,300.3825225,1430.0,6.559502573639962e-10,6.707760017493179e-23
31.0,0.021554882883,0.018,592.0214824999999,352.6046125,300.580895,1430.0,9.526271954494964e-10,1.3050992534499297e-22
31.5,0.021722833506999998,0.018,593.2201799999999,354.1483875,300.7894425,1430.0,1.3729595607024909e-09,2.5049700067665286e-22
32.0,0.02187459411,0.018,594.4167075,355.68967499999997,301.008355,1430.0,1.964277057342492e-09,4.745460013195805e-22
32.5,0.022012935128,0.018,595.61056,357.228205,301.23773,1430.0,2.790505887724985e-09,8.877487525581884e-22
33.0,0.022140087013,0.018,596.8011775,358.76351,301.4777575,1430.0,3.937496445039968e-09,1.6407872549293337e-21
33.5,0.022257750232,0.018,597.988165,360.295225,301.7284375,1430.0,5.519914515769947e-09,2.9975925094394766e-21
34.0,0.022367175277,0.018,599.170905,361.82327,301.98996250000005,1430.0,7.690116585409916e-09,5.415670017962704e-21
