t,001_MLR( 0.0000_ 0.0000_ 0.0000),
         0.0000,        0.0000000,
         0.0500,        0.0000000,
         1.0500,        0.0000000,
         2.0500,        0.0000000,
         3.1000,        0.0000001,
         4.1500,        0.0000013,
         5.2000,        0.0000141,
         6.2500,        0.0000991,
         7.3000,        0.0005134,
         8.3000,        0.0019917,
         9.3000,        0.0065804,
        10.3000,        0.0191001,
        11.3000,        0.0498139,
        12.3000,        0.1186575,
        13.3000,        0.2611527,
        14.3000,        0.5350169,
        15.3000,        1.0238404,
        16.3000,        1.8299759,
        17.3000,        3.0466725,
        18.3000,        4.7095458,
        19.3000,        6.7541118,
        20.3000,        9.0211335,
        21.3000,       11.3160245,
        22.3000,       13.4760084,
        23.3000,       15.4013817,
        24.3000,       17.0504653,
        25.3000,       18.4205654,
        26.3000,       19.5310217,
        27.3000,       20.4126427,
        28.3000,       21.1019565,
        29.3000,       21.6376081,
        30.3000,       22.0570471,
        31.3000,       22.3930097,
        32.3500,       22.6832823,
        33.4000,       22.9279724,
        34.4500,       23.1372817,
        35.5000,       23.3163503,
        36.5500,       23.4678067,
        37.6000,       23.5937716,
        38.6500,       23.6982428,
        39.7000,       23.7834255,
        40.7500,       23.8514873,
        41.8000,       23.9044143,
        42.8500,       23.9439836,
        43.9000,       23.9717667,
        44.9500,       23.9891418,
        46.0000,       23.9973305,
        47.0500,       23.9974038,
        48.1000,       23.9903297,
        49.1500,       23.9769503,
        50.2000,       23.9580354,
        51.2500,       23.9342775,
        52.3000,       23.9062908,
        53.3500,       23.8746390,
        54.4000,       23.8398309,
        55.4500,       23.8023424,
        56.5000,       23.7625865,
        57.5500,       23.7209768,
        58.6000,       23.6778687,
        59.6500,       23.6336026,
        60.7000,       23.5884869,
        61.7500,       23.5428158,
        62.8000,       23.4968655,
        63.8500,       23.4508947,
        64.9000,       23.4051280,
        65.9500,       23.3598040,
        67.0000,       23.3151176,
        68.0500,       23.2712987,
        69.1000,       23.2284986,
        70.1500,       23.1869162,
        71.2000,       23.1467155,
        72.2500,       23.1080543,
        73.3000,       23.0710824,
        74.3500,       23.0359450,
        75.4000,       23.0027714,
        76.4500,       22.9716974,
        77.5000,       22.9428393,
        78.5500,       22.9163250,
        79.6000,       22.8922474,
        80.6500,       22.8707410,
        81.7000,       22.8518748,
        82.7500,       22.8357709,
        83.8000,       22.8225211,
        84.8500,       22.8121864,
        85.9000,       22.8048868,
        86.9500,       22.8006879,
        88.0000,       22.7996782,
        89.0500,       22.8019244,
        90.1000,       22.8075071,
        91.1500,       22.8164922,
        92.2000,       22.8289550,
        93.2500,       22.8449577,
        94.3000,       22.8645753,
        95.3500,       22.8878609,
        96.4000,       22.9148777,
        97.4500,       22.9456997,
        98.5000,       22.9803620,
        99.5500,       23.0189619,
       100.6000,       23.0615199,
       101.6500,       23.1081159,
       102.7000,       23.1588040,
       103.7500,       23.2136325,
       104.8000,       23.2726677,
       105.8500,       23.3359644,
       106.9000,       23.4035782,
       107.9500,       23.4755660,
       109.0000,       23.5519858,
       110.0500,       23.6328997,
       111.1000,       23.7183651,
       112.1500,       23.8084432,
       113.2000,       23.9031957,
       114.2500,       24.0026834,
       115.3000,       24.1069721,
       116.3500,       24.2161351,
       117.4000,       24.3302241,
       118.4500,       24.4493279,
       119.5000,       24.5735082,
       120.5500,       24.7028495,
       121.6000,       24.8374185,
       122.6500,       24.9773076,
       123.7000,       25.1226025,
       124.7500,       25.2733857,
       125.8000,       25.4297557,
       126.8500,       25.5918131,
       127.9000,       25.7596574,
       128.9000,       25.9249810,
       129.9000,       26.0957712,
       130.9000,       26.2720996,
       131.9000,       26.4540961,
       132.9000,       26.6418660,
       133.9000,       26.8355339,
       134.9000,       27.0352278,
       135.9000,       27.2410813,
       136.9000,       27.4532319,
       137.9000,       27.6718229,
       138.9000,       27.8970104,
       139.9000,       28.1289504,
       140.9000,       28.3677936,
       141.9000,       28.6137074,
       142.9000,       28.8668546,
       143.9000,       29.1273873,
       144.9000,       29.3954618,
       145.9000,       29.6712177,
       146.9000,       29.9547784,
       147.9000,       30.2462393,
       148.9000,       30.5456711,
       149.9000,       30.8530905,
       150.9000,       31.1684648,
       151.9000,       31.4916929,
       152.9000,       31.8225852,
       153.9000,       32.1608438,
       154.9000,       32.5060553,
       155.9000,       32.8576593,
       156.9000,       33.2149361,
       157.9000,       33.5769680,
       158.9000,       33.9426539,
       159.9000,       34.3106892,
       160.9000,       34.6795749,
       161.9000,       35.0475778,
       162.9000,       35.4127776,
       163.9000,       35.7730473,
       164.9000,       36.1260967,
       165.9000,       36.4695123,
       166.9000,       36.8008002,
       167.9000,       37.1174521,
       168.9000,       37.4170137,
       169.9000,       37.6971422,
       170.9000,       37.9556750,
       171.9000,       38.1906938,
       172.9000,       38.4005414,
       173.9000,       38.5839080,
       174.9000,       38.7397896,
       175.9000,       38.8675073,
       176.9000,       38.9666724,
       177.9000,       39.0371466,
       178.9000,       39.0789728,
       179.9000,       39.0923175,
       180.9000,       39.0773774,
       181.9000,       39.0343028,
       182.9000,       38.9631186,
       183.9000,       38.8636278,
       184.9000,       38.7353450,
       185.9000,       38.5774156,
       186.9000,       38.3885338,
       187.9000,       38.1668635,
       188.9000,       37.9099603,
       189.9000,       37.6146510,
       190.9000,       37.2769218,
       191.9000,       36.8917595,
       192.9000,       36.4529510,
       193.9000,       35.9528175,
       194.9000,       35.3818699,
       195.9000,       34.7283609,
       196.9000,       33.9776424,
       197.9000,       33.1114039,
       198.9000,       32.1065693,
       199.9000,       30.9339187,
       200.9000,       29.5563673,
       201.9000,       27.9270710,
       202.9000,       25.9880103,
       203.9000,       23.6712191,
       204.9000,       20.9085258,
       205.9000,       17.6646806,
       206.9000,       14.0231814,
       207.9000,       10.3463423,
       208.9000,        7.3714871,
       209.9000,        5.7745148,
       210.9000,        5.3658800,
       211.9000,        5.4259258,
       212.9000,        5.5743478,
       213.9000,        5.7374674,
       214.9000,        5.9071197,
       215.9000,        6.0803141,
       216.9000,        6.2546060,
       217.9000,        6.4280020,
       218.9000,        6.5989162,
       219.9000,        6.7661057,
       220.9000,        6.9286074,
       221.9000,        7.0856833,
       222.9000,        7.2367776,
       223.9000,        7.3814827,
