t,001_MLR( 0.0000_ 0.0000_ 0.0000),
         0.0000,        0.0000000,
         1.0005,        0.0000000,
         2.0010,        0.0000000,
         3.0010,        0.0000001,
         4.0010,        0.0000017,
         5.0015,        0.0000160,
         6.0020,        0.0001028,
         7.0025,        0.0004986,
         8.0030,        0.0019576,
         9.0030,        0.0065162,
        10.0030,        0.0190075,
        11.0030,        0.0497295,
        12.0030,        0.1186688,
        13.0030,        0.2613104,
        14.0030,        0.5348314,
        15.0030,        1.0206492,
        16.0030,        1.8152102,
        17.0035,        3.0010043,
        18.0040,        4.5988553,
        19.0045,        6.5363875,
        20.0050,        8.6634372,
        21.0055,       10.8106369,
        22.0060,       12.8450930,
        23.0065,       14.6904151,
        24.0070,       16.3163200,
        25.0075,       17.7191576,
        26.0080,       18.9074910,
        27.0085,       19.8954159,
        28.0090,       20.7006693,
        29.0095,       21.3443861,
        30.0100,       21.8509319,
        31.0105,       22.2471120,
        32.0110,       22.5601196,
        33.0110,       22.8140318,
        34.0110,       23.0268556,
        35.0110,       23.2090634,
        36.0110,       23.3657118,
        37.0110,       23.4994729,
        38.0110,       23.6124681,
        39.0110,       23.7066612,
        40.0110,       23.7838946,
        41.0110,       23.8460054,
        42.0110,       23.8947468,
        43.0110,       23.9316042,
        44.0110,       23.9578493,
        45.0110,       23.9746923,
        46.0110,       23.9832385,
        47.0110,       23.9843985,
        48.0110,       23.9789772,
        49.0110,       23.9677629,
        50.0110,       23.9514581,
        51.0110,       23.9306413,
        52.0110,       23.9058571,
        53.0110,       23.8776459,
        54.0110,       23.8464725,
        55.0110,       23.8127310,
        56.0110,       23.7768181,
        57.0110,       23.7391193,
        58.0110,       23.6999556,
        59.0110,       23.6596180,
        60.0110,       23.6184101,
        61.0110,       23.5766134,
        62.0110,       23.5344615,
        63.0110,       23.4921835,
        64.0110,       23.4500172,
        65.0110,       23.4081713,
        66.0110,       23.3668264,
        67.0110,       23.3261693,
        68.0110,       23.2863867,
        69.0110,       23.2476377,
        70.0110,       23.2100683,
        71.0110,       23.1738328,
        72.0110,       23.1390780,
        73.0110,       23.1059291,
        74.0110,       23.0745079,
        75.0110,       23.0449415,
        76.0110,       23.0173466,
        77.0110,       22.9918252,
        78.0110,       22.9684801,
        79.0110,       22.9474165,
        80.0110,       22.9287285,
        81.0110,       22.9125018,
        82.0110,       22.8988241,
        83.0110,       22.8877826,
        84.0110,       22.8794558,
        85.0110,       22.8739170,
        86.0110,       22.8712419,
        87.0110,       22.8715041,
        88.0110,       22.8747708,
        89.0110,       22.8811064,
        90.0110,       22.8905771,
        91.0110,       22.9032466,
        92.0110,       22.9191743,
        93.0110,       22.9384184,
        94.0110,       22.9610378,
        95.0110,       22.9870899,
        96.0110,       23.0166289,
        97.0110,       23.0497086,
        98.0110,       23.0863835,
        99.0110,       23.1267070,
       100.0110,       23.1707305,
       101.0110,       23.2185058,
       102.0110,       23.2700849,
       103.0110,       23.3255195,
       104.0110,       23.3848607,
       105.0110,       23.4481597,
       106.0110,       23.5154687,
       107.0110,       23.5868399,
       108.0110,       23.6623258,
       109.0110,       23.7419793,
       110.0110,       23.8258550,
       111.0110,       23.9140078,
       112.0110,       24.0064937,
       113.0110,       24.1033699,
       114.0110,       24.2046953,
       115.0110,       24.3105303,
       116.0110,       24.4209367,
       117.0110,       24.5359785,
       118.0110,       24.6557220,
       119.0110,       24.7802357,
       120.0110,       24.9095906,
       121.0110,       25.0438605,
       122.0110,       25.1831225,
       123.0110,       25.3274568,
       124.0110,       25.4769474,
       125.0110,       25.6316821,
       126.0110,       25.7917530,
       127.0110,       25.9572566,
       128.0110,       26.1282946,
       129.0115,       26.3050633,
       130.0120,       26.4875912,
       131.0125,       26.6759963,
       132.0130,       26.8704029,
       133.0135,       27.0709418,
       134.0140,       27.2777499,
       135.0145,       27.4909704,
       136.0150,       27.7107531,
       137.0155,       27.9372532,
       138.0160,       28.1706312,
       139.0165,       28.4110516,
       140.0170,       28.6586815,
       141.0175,       28.9136882,
       142.0180,       29.1762367,
       143.0185,       29.4464858,
       144.0190,       29.7245835,
       145.0195,       30.0106610,
       146.0200,       30.3048255,
       147.0205,       30.6071509,
       148.0210,       30.9176679,
       149.0215,       31.2363507,
       150.0220,       31.5631034,
       151.0225,       31.8977428,
       152.0230,       32.2399809,
       153.0235,       32.5894051,
       154.0240,       32.9454576,
       155.0245,       33.3074147,
       156.0250,       33.6743668,
       157.0255,       34.0452009,
       158.0260,       34.4185859,
       159.0265,       34.7929647,
       160.0270,       35.1665521,
       161.0275,       35.5373431,
       162.0280,       35.9031311,
       163.0285,       36.2615379,
       164.0290,       36.6100555,
       165.0295,       36.9460991,
       166.0300,       37.2670693,
       167.0305,       37.5704201,
       168.0310,       37.8537300,
       169.0315,       38.1147692,
       170.0320,       38.3515602,
       171.0325,       38.5624248,
       172.0330,       38.7460150,
       173.0335,       38.9013243,
       174.0340,       39.0276771,
       175.0345,       39.1246986,
       176.0350,       39.1922649,
       177.0355,       39.2304381,
       178.0360,       39.2393888,
       179.0365,       39.2193122,
       180.0370,       39.1703396,
       181.0375,       39.0924501,
       182.0380,       38.9853845,
       183.0385,       38.8485608,
       184.0390,       38.6809928,
       185.0395,       38.4812071,
       186.0400,       38.2471569,
       187.0405,       37.9761244,
       188.0410,       37.6646081,
       189.0415,       37.3081826,
       190.0420,       36.9013212,
       191.0425,       36.4371665,
       192.0430,       35.9072278,
       193.0435,       35.3009829,
       194.0440,       34.6053462,
       195.0445,       33.8039604,
       196.0450,       32.8762542,
       197.0455,       31.7961987,
       198.0460,       30.5307119,
       199.0465,       29.0377396,
       200.0470,       27.2643297,
       201.0475,       25.1458723,
       202.0480,       22.6100402,
       203.0485,       19.5949726,
       204.0490,       16.1039438,
       205.0495,       12.3312886,
       206.0500,        8.8355589,
       207.0505,        6.4407278,
       208.0510,        5.4714814,
       209.0515,        5.3538850,
       210.0520,        5.4753498,
       211.0525,        5.6351045,
       212.0530,        5.8043813,
       213.0535,        5.9787228,
       214.0540,        6.1553628,
       215.0545,        6.3320276,
       216.0550,        6.5068930,
       217.0555,        6.6785232,
       218.0560,        6.8458012,
       219.0565,        7.0078679,
       220.0570,        7.1640708,
       221.0575,        7.3139248,
       222.0580,        7.4570816,
       223.0585,        7.5933059,
       224.0590,        7.7224574,
