t,001_MLR( 0.0000_ 0.0000_ 0.0000),
         0.0000,        0.0000000,
         0.0500,        0.0000000,
         1.0500,        0.0000000,
         2.0500,        0.0000000,
         3.1000,        0.0000001,
         4.1500,        0.0000013,
         5.2000,        0.0000141,
         6.2500,        0.0000991,
         7.3000,        0.0005134,
         8.3000,        0.0019918,
         9.3000,        0.0065810,
        10.3000,        0.0191027,
        11.3000,        0.0498212,
        12.3000,        0.1186745,
        13.3000,        0.2611884,
        14.3000,        0.5350855,
        15.3000,        1.0239620,
        16.3000,        1.8301731,
        17.3000,        3.0469625,
        18.3000,        4.7099286,
        19.3000,        6.7545652,
        20.3000,        9.0216206,
        21.3000,       11.3165094,
        22.3000,       13.4764666,
        23.3000,       15.4018013,
        24.3000,       17.0508362,
        25.3000,       18.4208765,
        26.3000,       19.5312325,
        27.3000,       20.4126870,
        28.3000,       21.1017570,
        29.3000,       21.6370963,
        30.3000,       22.0561746,
        31.3000,       22.3917524,
        32.3500,       22.6816071,
        33.4000,       22.9258625,
        34.4500,       23.1347066,
        35.5000,       23.3132225,
        36.5500,       23.4645071,
        37.6000,       23.5912014,
        38.6500,       23.6959562,
        39.7000,       23.7812736,
        40.7500,       23.8494172,
        41.8000,       23.9024157,
        42.8500,       23.9420478,
        43.9000,       23.9698868,
        44.9500,       23.9873152,
        46.0000,       23.9955529,
        47.0500,       23.9956793,
        48.1000,       23.9886475,
        49.1500,       23.9753164,
        50.2000,       23.9564497,
        51.2500,       23.9327307,
        52.3000,       23.9047789,
        53.3500,       23.8731676,
        54.4000,       23.8384035,
        55.4500,       23.8009467,
        56.5000,       23.7612391,
        57.5500,       23.7196640,
        58.6000,       23.6765923,
        59.6500,       23.6323640,
        60.7000,       23.5872866,
        61.7500,       23.5416517,
        62.8000,       23.4957440,
        63.8500,       23.4498022,
        64.9000,       23.4040799,
        65.9500,       23.3587945,
        67.0000,       23.3141514,
        68.0500,       23.2703649,
        69.1000,       23.2276092,
        70.1500,       23.1860643,
        71.2000,       23.1459019,
        72.2500,       23.1072853,
        73.3000,       23.0703589,
        74.3500,       23.0352558,
        75.4000,       23.0021282,
        76.4500,       22.9710996,
        77.5000,       22.9422871,
        78.5500,       22.9158163,
        79.6000,       22.8917927,
        80.6500,       22.8703274,
        81.7000,       22.8515158,
        82.7500,       22.8354567,
        83.8000,       22.8222506,
        84.8500,       22.8119767,
        85.9000,       22.8047309,
        86.9500,       22.8005857,
        88.0000,       22.7996280,
        89.0500,       22.8019260,
        90.1000,       22.8075646,
        91.1500,       22.8166097,
        92.2000,       22.8291314,
        93.2500,       22.8451944,
        94.3000,       22.8648695,
        95.3500,       22.8882153,
        96.4000,       22.9153013,
        97.4500,       22.9461803,
        98.5000,       22.9809178,
        99.5500,       23.0195744,
       100.6000,       23.0622052,
       101.6500,       23.1088700,
       102.7000,       23.1596241,
       103.7500,       23.2145226,
       104.8000,       23.2736350,
       105.8500,       23.3370026,
       106.9000,       23.4046921,
       107.9500,       23.4767578,
       109.0000,       23.5532546,
       110.0500,       23.6342522,
       111.1000,       23.7197974,
       112.1500,       23.8099588,
       113.2000,       23.9047952,
       114.2500,       24.0043697,
       115.3000,       24.1087462,
       116.3500,       24.2179948,
       117.4000,       24.3321800,
       118.4500,       24.4513779,
       119.5000,       24.5756526,
       120.5500,       24.7050892,
       121.6000,       24.8397610,
       122.6500,       24.9797530,
       123.7000,       25.1251493,
       124.7500,       25.2760425,
       125.8000,       25.4325215,
       126.8500,       25.5946867,
       127.9000,       25.7626452,
       128.9000,       25.9280903,
       129.9000,       26.0989830,
       130.9000,       26.2754296,
       131.9000,       26.4575430,
       132.9000,       26.6454355,
       133.9000,       26.8392289,
       134.9000,       27.0390469,
       135.9000,       27.2450284,
       136.9000,       27.4573135,
       137.9000,       27.6760397,
       138.9000,       27.9013618,
       139.9000,       28.1334400,
       140.9000,       28.3724282,
       141.9000,       28.6184859,
       142.9000,       28.8717769,
       143.9000,       29.1324540,
       144.9000,       29.4006734,
       145.9000,       29.6765698,
       146.9000,       29.9602673,
       147.9000,       30.2518624,
       148.9000,       30.5514170,
       149.9000,       30.8589499,
       150.9000,       31.1744296,
       151.9000,       31.4977460,
       152.9000,       31.8287098,
       153.9000,       32.1670313,
       154.9000,       32.5122965,
       155.9000,       32.8639485,
       156.9000,       33.2212722,
       157.9000,       33.5833747,
       158.9000,       33.9491610,
       159.9000,       34.3173350,
       160.9000,       34.6863836,
       161.9000,       35.0545681,
       162.9000,       35.4199406,
       163.9000,       35.7803853,
       164.9000,       36.1335852,
       165.9000,       36.4771284,
       166.9000,       36.8085105,
       167.9000,       37.1252276,
       168.9000,       37.4248186,
       169.9000,       37.7049407,
       170.9000,       37.9634311,
       171.9000,       38.1983691,
       172.9000,       38.4081157,
       173.9000,       38.5913485,
       174.9000,       38.7470707,
       175.9000,       38.8746042,
       176.9000,       38.9735681,
       177.9000,       39.0438230,
       178.9000,       39.0854162,
       179.9000,       39.0985119,
       180.9000,       39.0833067,
       181.9000,       39.0399530,
       182.9000,       38.9684683,
       183.9000,       38.8686548,
       184.9000,       38.7400160,
       185.9000,       38.5816869,
       186.9000,       38.3923563,
       187.9000,       38.1701763,
       188.9000,       37.9126806,
       189.9000,       37.6166825,
       190.9000,       37.2781413,
       191.9000,       36.8920157,
       192.9000,       36.4520580,
       193.9000,       35.9505427,
       194.9000,       35.3779201,
       195.9000,       34.7223646,
       196.9000,       33.9691499,
       197.9000,       33.0998153,
       198.9000,       32.0911204,
       199.9000,       30.9136160,
       200.9000,       29.5299185,
       201.9000,       27.8927921,
       202.9000,       25.9437632,
       203.9000,       23.6144229,
       204.9000,       20.8365463,
       205.9000,       17.5762300,
       206.9000,       13.9219696,
       207.9000,       10.2471852,
       208.9000,        7.3000876,
       209.9000,        5.7442712,
       210.9000,        5.3605080,
       211.9000,        5.4268977,
       212.9000,        5.5761529,
       213.9000,        5.7394681,
       214.9000,        5.9092466,
       215.9000,        6.0825356,
       216.9000,        6.2569052,
       217.9000,        6.4303720,
       218.9000,        6.6013569,
       219.9000,        6.7686211,
       220.9000,        6.9312036,
       221.9000,        7.0883673,
       222.9000,        7.2395560,
       223.9000,        7.3843605,
