============== TIMING SUMMARY ===============
Total CPU Time (s):  156.35
               Subroutine  Time (s)   CPU (%)
---------------------------------------------
     SOLID_SPECIES_SOLVER     61.83   39.54
    SOLID_ENTHALPY_SOLVER     89.90   57.50
             GAS_EQUATION      3.23    2.06
            DUMP_ROUTINES      0.08    0.05
               ALL OTHERS      1.32    0.84
---------------------------------------------
  
  
=========== SOLID SPECIES SOLVER ============
               Subroutine  Time (s)   CPU (%)
---------------------------------------------
            REACTION_RATE     30.18   48.81
     SPECIES_SOURCE_TERMS     15.91   25.74
     SOLVE_YI_AND_DENISTY     13.05   21.11
         MESH_DEFORMATION      2.69    4.34
                   Others      0.00    0.00
---------------------------------------------
                   TOTAL:     61.83  100.00
  
  
========== SOLID ENTHALPY SOLVER ============
               Subroutine  Time (s)   CPU (%)
---------------------------------------------
       THERMAL_PROPERTIES     20.05   22.31
     ENERGIE SOURCE TERMS     10.09   11.22
           GET TDMA COEFF      7.99    8.89
          SHYI CORRECTION     14.95   16.63
             BC HANDELING      0.64    0.72
               SOLVE TDMA      4.56    5.08
                 T FROM H     30.31   33.72
                   Others     21.34   23.74
---------------------------------------------
                   TOTAL:     89.90  100.00
  
  
============== DUMP ROUTINES ================
               Subroutine  Time (s)   CPU (%)
---------------------------------------------
               POINT DATA      0.08   96.24
           SMOKEVIEW FILE      0.00    0.83
             PROFILE DATA      0.00    1.48
                   Others      0.00    1.46
---------------------------------------------
                   TOTAL:      0.08  100.00
  
  
================ ALL OTHERS =================
               Subroutine  Time (s)   CPU (%)
---------------------------------------------
          READ INPUT FILE      0.00    0.22
           INITIALISATION      0.07    5.35
         GET BC TIME STEP      0.01    0.86
UPDATE SOLUTION TIME STEP      1.21   92.23
                   Others      0.02    1.34
---------------------------------------------
                   TOTAL:      1.32  100.00
  
  
  
  
  
  
