t,001_MLR( 0.0000_ 0.0000_ 0.0000),
         0.0000,        0.0000000,
         1.0000,        0.0000000,
         2.0000,        0.0000000,
         3.0000,        0.0000001,
         4.0000,        0.0000017,
         5.0000,        0.0000159,
         6.0000,        0.0001024,
         7.0000,        0.0004965,
         8.0000,        0.0019493,
         9.0000,        0.0064917,
        10.0000,        0.0189436,
        11.0000,        0.0495791,
        12.0000,        0.1183444,
        13.0000,        0.2606635,
        14.0000,        0.5336363,
        15.0000,        1.0186108,
        16.0000,        1.8120286,
        17.0000,        2.9958122,
        18.0000,        4.5913719,
        19.0000,        6.5268086,
        20.0000,        8.6523892,
        21.0000,       10.7989090,
        22.0000,       12.8333482,
        23.0000,       14.6791123,
        24.0000,       16.3057524,
        25.0000,       17.7094959,
        26.0000,       18.8988522,
        27.0000,       19.8878710,
        28.0000,       20.6942371,
        29.0000,       21.3390074,
        30.0000,       21.8464914,
        31.0000,       22.2434522,
        32.0000,       22.5570364,
        33.0000,       22.8114685,
        34.0000,       23.0246754,
        35.0000,       23.2071866,
        36.0000,       23.3640998,
        37.0000,       23.4981019,
        38.0000,       23.6113203,
        39.0000,       23.7057087,
        40.0000,       23.7831148,
        41.0000,       23.8453878,
        42.0000,       23.8942646,
        43.0000,       23.9312435,
        44.0000,       23.9576029,
        45.0000,       23.9745419,
        46.0000,       23.9831703,
        47.0000,       23.9844115,
        48.0000,       23.9790575,
        49.0000,       23.9678977,
        50.0000,       23.9516481,
        51.0000,       23.9308807,
        52.0000,       23.9061346,
        53.0000,       23.8779487,
        54.0000,       23.8468172,
        55.0000,       23.8131000,
        56.0000,       23.7772053,
        57.0000,       23.7395246,
        58.0000,       23.7003781,
        59.0000,       23.6600486,
        60.0000,       23.6188494,
        61.0000,       23.5770568,
        62.0000,       23.5349073,
        63.0000,       23.4926250,
        64.0000,       23.4504538,
        65.0000,       23.4086076,
        66.0000,       23.3672537,
        67.0000,       23.3265918,
        68.0000,       23.2867900,
        69.0000,       23.2480318,
        70.0000,       23.2104510,
        71.0000,       23.1741988,
        72.0000,       23.1394193,
        73.0000,       23.1062517,
        74.0000,       23.0748165,
        75.0000,       23.0452258,
        76.0000,       23.0176010,
        77.0000,       22.9920632,
        78.0000,       22.9686918,
        79.0000,       22.9475945,
        80.0000,       22.9288802,
        81.0000,       22.9126300,
        82.0000,       22.8989208,
        83.0000,       22.8878383,
        84.0000,       22.8794892,
        85.0000,       22.8739191,
        86.0000,       22.8712078,
        87.0000,       22.8714315,
        88.0000,       22.8746686,
        89.0000,       22.8809687,
        90.0000,       22.8903992,
        91.0000,       22.9030306,
        92.0000,       22.9189238,
        93.0000,       22.9381280,
        94.0000,       22.9607121,
        95.0000,       22.9867177,
        96.0000,       23.0162182,
        97.0000,       23.0492554,
        98.0000,       23.0858950,
        99.0000,       23.1261680,
       100.0000,       23.1701495,
       101.0000,       23.2178876,
       102.0000,       23.2694224,
       103.0000,       23.3248027,
       104.0000,       23.3841033,
       105.0000,       23.4473612,
       106.0000,       23.5146216,
       107.0000,       23.5859362,
       108.0000,       23.6613835,
       109.0000,       23.7409893,
       110.0000,       23.8248135,
       111.0000,       23.9129137,
       112.0000,       24.0053531,
       113.0000,       24.1021776,
       114.0000,       24.2034509,
       115.0000,       24.3092311,
       116.0000,       24.4195852,
       117.0000,       24.5345727,
       118.0000,       24.6542671,
       119.0000,       24.7787171,
       120.0000,       24.9080162,
       121.0000,       25.0422353,
       122.0000,       25.1814383,
       123.0000,       25.3257049,
       124.0000,       25.4751413,
       125.0000,       25.6298167,
       126.0000,       25.7898234,
       127.0000,       25.9552588,
       128.0000,       26.1262363,
       129.0000,       26.3028492,
       130.0000,       26.4852145,
       131.0000,       26.6734452,
       132.0000,       26.8676752,
       133.0000,       27.0680294,
       134.0000,       27.2746459,
       135.0000,       27.4876555,
       136.0000,       27.7072298,
       137.0000,       27.9335125,
       138.0000,       28.1666578,
       139.0000,       28.4068334,
       140.0000,       28.6542170,
       141.0000,       28.9089612,
       142.0000,       29.1712397,
       143.0000,       29.4412028,
       144.0000,       29.7190078,
       145.0000,       30.0047868,
       146.0000,       30.2986311,
       147.0000,       30.6006334,
       148.0000,       30.9108251,
       149.0000,       31.2291682,
       150.0000,       31.5555738,
       151.0000,       31.8898701,
       152.0000,       32.2317612,
       153.0000,       32.5808455,
       154.0000,       32.9365607,
       155.0000,       33.2982029,
       156.0000,       33.6648570,
       157.0000,       34.0354108,
       158.0000,       34.4085656,
       159.0000,       34.7827505,
       160.0000,       35.1561968,
       161.0000,       35.5269045,
       162.0000,       35.8926848,
       163.0000,       36.2511594,
       164.0000,       36.5998211,
       165.0000,       36.9361102,
       166.0000,       37.2574126,
       167.0000,       37.5611893,
       168.0000,       37.8450188,
       169.0000,       38.1066722,
       170.0000,       38.3441523,
       171.0000,       38.5557859,
       172.0000,       38.7402122,
       173.0000,       38.8964159,
       174.0000,       39.0237017,
       175.0000,       39.1217042,
       176.0000,       39.1902775,
