t,001_TEMPERATURE( 0.0000_ 0.0000_ 0.0000),002_MLR( 0.0000_ 0.0000_ 0.0000),003_YI( 0.0000_ 0.0000_ 0.0000),004_REACTION_RATE_K( 0.0000_ 0.0000_ 0.0000),
         0.0000,       26.8500000,        0.0000000,        1.0000000,        0.0000000,
        10.0000,       27.6833333,        0.0000000,        1.0000000,        0.0000000,
        20.0000,       28.5166667,        0.0000000,        1.0000000,        0.0000000,
        30.0000,       29.3500000,        0.0000000,        1.0000000,        0.0000000,
        40.0000,       30.1833333,        0.0000000,        1.0000000,        0.0000000,
        50.0000,       31.0166667,        0.0000000,        1.0000000,        0.0000000,
        60.0000,       31.8500000,        0.0000000,        1.0000000,        0.0000000,
        70.0000,       32.6833333,        0.0000000,        1.0000000,        0.0000000,
        80.0000,       33.5166667,        0.0000000,        1.0000000,        0.0000000,
        90.0000,       34.3500000,        0.0000000,        1.0000000,        0.0000000,
       100.0000,       35.1833333,        0.0000000,        1.0000000,        0.0000000,
       110.0000,       36.0166667,        0.0000000,        1.0000000,        0.0000000,
       120.0000,       36.8500000,        0.0000000,        1.0000000,        0.0000000,
       130.0000,       37.6833333,        0.0000000,        1.0000000,        0.0000000,
       140.0000,       38.5166667,        0.0000000,        1.0000000,        0.0000000,
       150.0000,       39.3500000,        0.0000000,        1.0000000,        0.0000000,
       160.0000,       40.1833333,        0.0000000,        1.0000000,        0.0000000,
       170.0000,       41.0166667,        0.0000000,        1.0000000,        0.0000000,
       180.0000,       41.8500000,        0.0000000,        1.0000000,        0.0000000,
       190.0000,       42.6833333,        0.0000000,        1.0000000,        0.0000000,
       200.0000,       43.5166667,        0.0000000,        1.0000000,        0.0000000,
       210.0000,       44.3500000,        0.0000000,        1.0000000,        0.0000000,
       220.0000,       45.1833333,        0.0000000,        1.0000000,        0.0000000,
       230.0000,       46.0166667,        0.0000000,        1.0000000,        0.0000000,
       240.0000,       46.8500000,        0.0000000,        1.0000000,        0.0000000,
       250.0000,       47.6833333,        0.0000000,        1.0000000,        0.0000000,
       260.0000,       48.5166667,        0.0000000,        1.0000000,        0.0000000,
       270.0000,       49.3500000,        0.0000000,        1.0000000,        0.0000000,
       280.0000,       50.1833333,        0.0000000,        1.0000000,        0.0000000,
       290.0000,       51.0166667,        0.0000000,        1.0000000,        0.0000000,
       300.0000,       51.8500000,        0.0000000,        1.0000000,        0.0000000,
       310.0000,       52.6833333,        0.0000000,        1.0000000,        0.0000000,
       320.0000,       53.5166667,        0.0000000,        1.0000000,        0.0000000,
       330.0000,       54.3500000,        0.0000000,        1.0000000,        0.0000000,
       340.0000,       55.1833333,        0.0000000,        1.0000000,        0.0000000,
       350.0000,       56.0166667,        0.0000000,        1.0000000,        0.0000000,
       360.0000,       56.8500000,        0.0000000,        1.0000000,        0.0000000,
       370.0000,       57.6833333,        0.0000000,        1.0000000,        0.0000000,
       380.0000,       58.5166667,        0.0000000,        1.0000000,        0.0000000,
       390.0000,       59.3500000,        0.0000000,        1.0000000,        0.0000000,
       400.0000,       60.1833333,        0.0000000,        1.0000000,        0.0000000,
       410.0000,       61.0166667,        0.0000000,        1.0000000,        0.0000000,
