t,001_N_ITERATIONS( 0.0050_ 0.0000_ 0.0000),002_TEMPERATURE( 0.0000_ 0.0000_ 0.0000),003_TEMPERATURE( 0.0080_ 0.0000_ 0.0000),004_TEMPERATURE( 0.0160_ 0.0000_ 0.0000),005_TEMPERATURE( 0.0400_ 0.0000_ 0.0000),
         0.0000,    32570.0000000,       26.8500000,       26.8500000,       26.8500000,       26.8500000,
         1.0000,        1.0000000,       33.2332893,       26.8500000,       26.8500000,       26.8500000,
         2.0000,        1.0000000,       35.8829792,       26.8500000,       26.8500000,       26.8500000,
         3.0000,        1.0000000,       37.9154004,       26.8500000,       26.8500000,       26.8500000,
         4.0000,        1.0000000,       39.6285551,       26.8500003,       26.8500000,       26.8500000,
         5.0000,        1.0000000,       41.1377520,       26.8500063,       26.8500000,       26.8500000,
         6.0000,        1.0000000,       42.5021004,       26.8500518,       26.8500000,       26.8500000,
         7.0000,        1.0000000,       43.7567040,       26.8502454,       26.8500001,       26.8500001,
         8.0000,        1.0000000,       44.9244303,       26.8508104,       26.8500001,       26.8500001,
         9.0000,        1.0000000,       46.0211613,       26.8520939,       26.8500001,       26.8500001,
        10.0000,        1.0000000,       47.0584591,       26.8545438,       26.8500001,       26.8500001,
        11.0000,        1.0000000,       48.0450516,       26.8586677,       26.8500001,       26.8500001,
        12.0000,        1.0000000,       48.9877191,       26.8649915,       26.8500001,       26.8500001,
        13.0000,        1.0000000,       49.8918532,       26.8740236,       26.8500001,       26.8500001,
        14.0000,        1.0000000,       50.7618254,       26.8862307,       26.8500002,       26.8500001,
        15.0000,        1.0000000,       51.6012381,       26.9020225,       26.8500003,       26.8500001,
        16.0000,        1.0000000,       52.4131020,       26.9217444,       26.8500006,       26.8500001,
        17.0000,        1.0000000,       53.1999635,       26.9456768,       26.8500013,       26.8500001,
        18.0000,        1.0000000,       53.9639995,       26.9740372,       26.8500029,       26.8500001,
        19.0000,        1.0000000,       54.7070882,       27.0069855,       26.8500059,       26.8500001,
        20.0000,        1.0000000,       55.4308635,       27.0446293,       26.8500114,       26.8500001,
        21.0000,        1.0000000,       56.1367573,       27.0870312,       26.8500209,       26.8500002,
        22.0000,        1.0000000,       56.8260329,       27.1342145,       26.8500364,       26.8500002,
        23.0000,        1.0000000,       57.4998114,       27.1861694,       26.8500608,       26.8500002,
        24.0000,        1.0000000,       58.1590935,       27.2428589,       26.8500976,       26.8500002,
        25.0000,        1.0000000,       58.8047763,       27.3042229,       26.8501513,       26.8500002,
        26.0000,        1.0000000,       59.4376683,       27.3701835,       26.8502272,       26.8500002,
        27.0000,        1.0000000,       60.0585007,       27.4406477,       26.8503316,       26.8500002,
        28.0000,        1.0000000,       60.6679378,       27.5155115,       26.8504722,       26.8500002,
