t,001_N_ITERATIONS( 0.0050_ 0.0000_ 0.0000),002_TEMPERATURE( 0.0000_ 0.0000_ 0.0000),003_TEMPERATURE( 0.0080_ 0.0000_ 0.0000),004_TEMPERATURE( 0.0160_ 0.0000_ 0.0000),005_TEMPERATURE( 0.0400_ 0.0000_ 0.0000),
         0.0000,    32758.0000000,       26.8500000,       26.8500000,       26.8500000,       26.8500000,
         1.0000,        1.0000000,       33.2260255,       26.8500000,       26.8500000,       26.8500000,
         2.0000,        1.0000000,       35.8778641,       26.8500000,       26.8500000,       26.8500000,
         3.0000,        1.0000000,       37.9112296,       26.8500000,       26.8500000,       26.8500000,
         4.0000,        1.0000000,       39.6249456,       26.8500003,       26.8500000,       26.8500000,
         5.0000,        1.0000000,       41.1345249,       26.8500059,       26.8500000,       26.8500000,
         6.0000,        1.0000000,       42.4991553,       26.8500503,       26.8500000,       26.8500000,
         7.0000,        1.0000000,       43.7539778,       26.8502406,       26.8500000,       26.8500000,
         8.0000,        1.0000000,       44.9218806,       26.8507993,       26.8500000,       26.8500000,
         9.0000,        1.0000000,       46.0187576,       26.8520729,       26.8500000,       26.8500000,
        10.0000,        1.0000000,       47.0561790,       26.8545091,       26.8500000,       26.8500000,
        11.0000,        1.0000000,       48.0428777,       26.8586160,       26.8500000,       26.8500000,
        12.0000,        1.0000000,       48.9856379,       26.8649199,       26.8500000,       26.8500000,
        13.0000,        1.0000000,       49.8898538,       26.8739300,       26.8500000,       26.8500000,
        14.0000,        1.0000000,       50.7598987,       26.8861136,       26.8500000,       26.8500000,
        15.0000,        1.0000000,       51.5993769,       26.9018808,       26.8500002,       26.8500000,
        16.0000,        1.0000000,       52.4112999,       26.9215779,       26.8500005,       26.8500000,
        17.0000,        1.0000000,       53.1982152,       26.9454854,       26.8500012,       26.8500000,
        18.0000,        1.0000000,       53.9623006,       26.9738214,       26.8500027,       26.8500000,
        19.0000,        1.0000000,       54.7054346,       27.0067458,       26.8500056,       26.8500000,
        20.0000,        1.0000000,       55.4292518,       27.0443665,       26.8500111,       26.8500000,
        21.0000,        1.0000000,       56.1351845,       27.0867462,       26.8500205,       26.8500000,
        22.0000,        1.0000000,       56.8244962,       27.1339083,       26.8500359,       26.8500000,
        23.0000,        1.0000000,       57.4983086,       27.1858431,       26.8500602,       26.8500000,
        24.0000,        1.0000000,       58.1576223,       27.2425135,       26.8500967,       26.8500000,
        25.0000,        1.0000000,       58.8033349,       27.3038596,       26.8501501,       26.8500000,
        26.0000,        1.0000000,       59.4362548,       27.3698032,       26.8502256,       26.8500000,
        27.0000,        1.0000000,       60.0571137,       27.4402515,       26.8503296,       26.8500000,
        28.0000,        1.0000000,       60.6665757,       27.5151004,       26.8504696,       26.8500000,
        29.0000,        1.0000000,       61.2652464,       27.5942371,       26.8506540,       26.8500000,
        30.0000,        1.0000000,       61.8536796,       27.6775426,       26.8508922,       26.8500000,
        31.0000,        1.0000000,       62.4323830,       27.7648933,       26.8511946,       26.8500000,
        32.0000,        1.0000000,       63.0018239,       27.8561630,       26.8515727,       26.8500000,
        33.0000,        1.0000000,       63.5624334,       27.9512239,       26.8520388,       26.8500000,
        34.0000,        1.0000000,       64.1146100,       28.0499481,       26.8526059,       26.8500000,
        35.0000,        1.0000000,       64.6587233,       28.1522081,       26.8532878,       26.8500000,
        36.0000,        1.0000000,       65.1951164,       28.2578775,       26.8540990,       26.8500000,
        37.0000,        1.0000000,       65.7241089,       28.3668321,       26.8550547,       26.8500000,
        38.0000,        1.0000000,       66.2459990,       28.4789498,       26.8561702,       26.8500000,
        39.0000,        1.0000000,       66.7610653,       28.5941112,       26.8574615,       26.8500000,
        40.0000,        1.0000000,       67.2695686,       28.7121998,       26.8589448,       26.8500000,
        41.0000,        1.0000000,       67.7717537,       28.8331022,       26.8606365,       26.8500000,
        42.0000,        1.0000000,       68.2678502,       28.9567083,       26.8625532,       26.8500000,
        43.0000,        1.0000000,       68.7580745,       29.0829114,       26.8647115,       26.8500000,
        44.0000,        1.0000000,       69.2426303,       29.2116081,       26.8671279,       26.8500000,
        45.0000,        1.0000000,       69.7217098,       29.3426985,       26.8698190,       26.8500000,
        46.0000,        1.0000000,       70.1954945,       29.4760860,       26.8728012,       26.8500000,
        47.0000,        1.0000000,       70.6641563,       29.6116774,       26.8760905,       26.8500000,
        48.0000,        1.0000000,       71.1278577,       29.7493831,       26.8797030,       26.8500000,
        49.0000,        1.0000000,       71.5867531,       29.8891163,       26.8836541,       26.8500000,
        50.0000,        1.0000000,       72.0409888,       30.0307937,       26.8879591,       26.8500000,
        51.0000,        1.0000000,       72.4907041,       30.1743351,       26.8926330,       26.8500000,
        52.0000,        1.0000000,       72.9360311,       30.3196632,       26.8976902,       26.8500000,
        53.0000,        1.0000000,       73.3770959,       30.4667038,       26.9031447,       26.8500000,
        54.0000,        1.0000000,       73.8140187,       30.6153855,       26.9090102,       26.8500000,
        55.0000,        1.0000000,       74.2469139,       30.7656395,       26.9152996,       26.8500000,
        56.0000,        1.0000000,       74.6758909,       30.9173999,       26.9220257,       26.8500000,
        57.0000,        1.0000000,       75.1010542,       31.0706031,       26.9292005,       26.8500000,
        58.0000,        1.0000000,       75.5225038,       31.2251883,       26.9368357,       26.8500000,
        59.0000,        1.0000000,       75.9403353,       31.3810969,       26.9449424,       26.8500000,
        60.0000,        1.0000000,       76.3546403,       31.5382724,       26.9535310,       26.8500000,
        61.0000,        1.0000000,       76.7655067,       31.6966609,       26.9626118,       26.8500000,
        62.0000,        1.0000000,       77.1730186,       31.8562104,       26.9721941,       26.8500000,
        63.0000,        1.0000000,       77.5772570,       32.0168708,       26.9822871,       26.8500000,
        64.0000,        1.0000000,       77.9782993,       32.1785943,       26.9928992,       26.8500000,
        65.0000,        1.0000000,       78.3762204,       32.3413346,       27.0040385,       26.8500000,
        66.0000,        1.0000000,       78.7710919,       32.5050475,       27.0157125,       26.8500000,
        67.0000,        1.0000000,       79.1629829,       32.6696904,       27.0279282,       26.8500000,
        68.0000,        1.0000000,       79.5519598,       32.8352222,       27.0406922,       26.8500000,
        69.0000,        1.0000000,       79.9380868,       33.0016037,       27.0540106,       26.8500000,
        70.0000,        1.0000000,       80.3214256,       33.1687970,       27.0678890,       26.8500000,
        71.0000,        1.0000000,       80.7020357,       33.3367658,       27.0823326,       26.8500000,
        72.0000,        1.0000000,       81.0799746,       33.5054749,       27.0973462,       26.8500000,
        73.0000,        1.0000000,       81.4552977,       33.6748909,       27.1129340,       26.8500000,
        74.0000,        1.0000000,       81.8280587,       33.8449814,       27.1291002,       26.8500000,
        75.0000,        1.0000000,       82.1983092,       34.0157151,       27.1458481,       26.8500000,
        76.0000,        1.0000000,       82.5660993,       34.1870623,       27.1631810,       26.8500000,
        77.0000,        1.0000000,       82.9314775,       34.3589940,       27.1811016,       26.8500000,
        78.0000,        1.0000000,       83.2944905,       34.5314826,       27.1996124,       26.8500000,
        79.0000,        1.0000000,       83.6551838,       34.7045013,       27.2187155,       26.8500000,
        80.0000,        1.0000000,       84.0136012,       34.8780246,       27.2384126,       26.8500000,
        81.0000,        1.0000000,       84.3697852,       35.0520277,       27.2587052,       26.8500001,
        82.0000,        1.0000000,       84.7237772,       35.2264868,       27.2795944,       26.8500001,
        83.0000,        1.0000000,       85.0756171,       35.4013790,       27.3010811,       26.8500001,
        84.0000,        1.0000000,       85.4253436,       35.5766822,       27.3231659,       26.8500001,
        85.0000,        1.0000000,       85.7729944,       35.7523752,       27.3458490,       26.8500001,
        86.0000,        1.0000000,       86.1186061,       35.9284375,       27.3691305,       26.8500002,
        87.0000,        1.0000000,       86.4622140,       36.1048493,       27.3930102,       26.8500002,
        88.0000,        1.0000000,       86.8038527,       36.2815918,       27.4174876,       26.8500003,
        89.0000,        1.0000000,       87.1435556,       36.4586466,       27.4425621,       26.8500003,
        90.0000,        1.0000000,       87.4813553,       36.6359960,       27.4682328,       26.8500004,
        91.0000,        1.0000000,       87.8172833,       36.8136230,       27.4944986,       26.8500005,
        92.0000,        1.0000000,       88.1513706,       36.9915113,       27.5213582,       26.8500006,
        93.0000,        1.0000000,       88.4836469,       37.1696451,       27.5488101,       26.8500007,
        94.0000,        1.0000000,       88.8141414,       37.3480090,       27.5768528,       26.8500008,
        95.0000,        1.0000000,       89.1428825,       37.5265885,       27.6054843,       26.8500010,
        96.0000,        1.0000000,       89.4698979,       37.7053694,       27.6347028,       26.8500012,
        97.0000,        1.0000000,       89.7952143,       37.8843379,       27.6645061,       26.8500014,
        98.0000,        1.0000000,       90.1188580,       38.0634809,       27.6948920,       26.8500016,
        99.0000,        1.0000000,       90.4408546,       38.2427857,       27.7258580,       26.8500019,
       100.0000,        1.0000000,       90.7612289,       38.4222400,       27.7574016,       26.8500022,
       101.0000,        1.0000000,       91.0800053,       38.6018320,       27.7895202,       26.8500026,
       102.0000,        1.0000000,       91.3972073,       38.7815503,       27.8222111,       26.8500030,
       103.0000,        1.0000000,       91.7128582,       38.9613839,       27.8554713,       26.8500035,
       104.0000,        1.0000000,       92.0269803,       39.1413220,       27.8892979,       26.8500041,
       105.0000,        1.0000000,       92.3395958,       39.3213545,       27.9236878,       26.8500047,
       106.0000,        1.0000000,       92.6507261,       39.5014714,       27.9586379,       26.8500055,
       107.0000,        1.0000000,       92.9603921,       39.6816632,       27.9941450,       26.8500063,
       108.0000,        1.0000000,       93.2686144,       39.8619206,       28.0302057,       26.8500072,
       109.0000,        1.0000000,       93.5754130,       40.0422347,       28.0668167,       26.8500083,
       110.0000,        1.0000000,       93.8808073,       40.2225969,       28.1039746,       26.8500095,
       111.0000,        1.0000000,       94.1848166,       40.4029989,       28.1416757,       26.8500108,
       112.0000,        1.0000000,       94.4874594,       40.5834326,       28.1799166,       26.8500122,
       113.0000,        1.0000000,       94.7887541,       40.7638904,       28.2186937,       26.8500139,
       114.0000,        1.0000000,       95.0887185,       40.9443646,       28.2580032,       26.8500157,
       115.0000,        1.0000000,       95.3873701,       41.1248482,       28.2978415,       26.8500178,
       116.0000,        1.0000000,       95.6847259,       41.3053340,       28.3382048,       26.8500200,
       117.0000,        1.0000000,       95.9808027,       41.4858154,       28.3790893,       26.8500226,
       118.0000,        1.0000000,       96.2756169,       41.6662858,       28.4204913,       26.8500253,
       119.0000,        1.0000000,       96.5691844,       41.8467390,       28.4624067,       26.8500284,
       120.0000,        1.0000000,       96.8615210,       42.0271689,       28.5048318,       26.8500318,
       121.0000,        1.0000000,       97.1526419,       42.2075695,       28.5477627,       26.8500355,
       122.0000,        1.0000000,       97.4425623,       42.3879352,       28.5911954,       26.8500396,
       123.0000,        1.0000000,       97.7312969,       42.5682605,       28.6351260,       26.8500441,
       124.0000,        1.0000000,       98.0188601,       42.7485402,       28.6795505,       26.8500490,
       125.0000,        1.0000000,       98.3052660,       42.9287691,       28.7244650,       26.8500544,
       126.0000,        1.0000000,       98.5905285,       43.1089423,       28.7698654,       26.8500603,
       127.0000,        1.0000000,       98.8746613,       43.2890549,       28.8157478,       26.8500667,
       128.0000,        1.0000000,       99.1576775,       43.4691025,       28.8621081,       26.8500737,
       129.0000,        1.0000000,       99.4395903,       43.6490804,       28.9089425,       26.8500813,
       130.0000,        1.0000000,       99.7204125,       43.8289845,       28.9562467,       26.8500895,
       131.0000,        1.0000000,      100.0001566,       44.0088106,       29.0040170,       26.8500984,
       132.0000,        1.0000000,      100.2788349,       44.1885546,       29.0522491,       26.8501081,
       133.0000,        1.0000000,      100.5564597,       44.3682126,       29.1009393,       26.8501186,
       134.0000,        1.0000000,      100.8330426,       44.5477810,       29.1500833,       26.8501300,
       135.0000,        1.0000000,      101.1085953,       44.7272560,       29.1996773,       26.8501422,
       136.0000,        1.0000000,      101.3831294,       44.9066343,       29.2497173,       26.8501554,
       137.0000,        1.0000000,      101.6566559,       45.0859123,       29.3001992,       26.8501696,
       138.0000,        1.0000000,      101.9291860,       45.2650870,       29.3511192,       26.8501849,
       139.0000,        1.0000000,      102.2007303,       45.4441550,       29.4024733,       26.8502013,
       140.0000,        1.0000000,      102.4712996,       45.6231134,       29.4542574,       26.8502189,
       141.0000,        1.0000000,      102.7409043,       45.8019592,       29.5064678,       26.8502378,
       142.0000,        1.0000000,      103.0095545,       45.9806896,       29.5591005,       26.8502581,
       143.0000,        1.0000000,      103.2772604,       46.1593019,       29.6121515,       26.8502798,
       144.0000,        1.0000000,      103.5440319,       46.3377934,       29.6656171,       26.8503030,
       145.0000,        1.0000000,      103.8098787,       46.5161615,       29.7194933,       26.8503277,
       146.0000,        1.0000000,      104.0748103,       46.6944039,       29.7737762,       26.8503542,
       147.0000,        1.0000000,      104.3388361,       46.8725180,       29.8284622,       26.8503824,
       148.0000,        1.0000000,      104.6019653,       47.0505018,       29.8835473,       26.8504124,
       149.0000,        1.0000000,      104.8642071,       47.2283528,       29.9390278,       26.8504443,
