t,001_TEMPERATURE( 0.0000_ 0.0000_ 0.0000),002_YI( 0.0000_ 0.0000_ 0.0000),003_YI( 0.0000_ 0.0000_ 0.0000),004_REACTION_RATE_K( 0.0000_ 0.0000_ 0.0000),005_THERMAL_CONDUCTIVITY_Z( 0.0000_ 0.0000_ 0.0000),006_SPECIFIC_HEAT_CAPACITY( 0.0000_ 0.0000_ 0.0000),007_SOLID_DENSITY( 0.0000_ 0.0000_ 0.0000),008_BULK_DENSITY( 0.0000_ 0.0000_ 0.0000),009_SOLID_DENSITY( 0.0000_ 0.0000_ 0.0000),010_XI( 0.0000_ 0.0000_ 0.0000),011_XI( 0.0000_ 0.0000_ 0.0000),
         0.0000,     9726.8500000,        1.0000000,        0.0000000,        0.0000000,        1.0000000,     1200.0000000,     2000.0000000,     1000.0000000,     2000.0000000,        1.0000000,        0.0000000,
        10.0500,     9726.8499970,        0.9899500,        0.0100500,        0.9933446,        0.9916807,     1207.0350003,     1970.2977608,      993.3445910,     1970.2977608,        0.9833615,        0.0166385,
        20.1000,     9726.8499939,        0.9799000,        0.0201000,        0.9867772,        0.9834715,     1214.0700006,     1941.4648343,      986.7771853,     1941.4648343,        0.9669430,        0.0330570,
        30.1500,     9726.8499908,        0.9698500,        0.0301500,        0.9802960,        0.9753701,     1221.1050008,     1913.4636070,      980.2960487,     1913.4636070,        0.9507401,        0.0492599,
        40.2000,     9726.8499877,        0.9598000,        0.0402000,        0.9738995,        0.9673744,     1228.1400011,     1886.2586044,      973.8994927,     1886.2586044,        0.9347487,        0.0652513,
        50.2500,     9726.8499845,        0.9497500,        0.0502500,        0.9675858,        0.9594823,     1235.1750014,     1859.8163411,      967.5858721,     1859.8163411,        0.9189647,        0.0810353,
        60.3000,     9726.8499813,        0.9397000,        0.0603000,        0.9613536,        0.9516920,     1242.2100017,     1834.1051835,      961.3535845,     1834.1051835,        0.9033840,        0.0966160,
        70.3500,     9726.8499780,        0.9296500,        0.0703500,        0.9552010,        0.9440013,     1249.2450020,     1809.0952235,      955.2010683,     1809.0952235,        0.8880027,        0.1119973,
        80.4000,     9726.8499747,        0.9196000,        0.0804000,        0.9491268,        0.9364085,     1256.2800024,     1784.7581621,      949.1268016,     1784.7581621,        0.8728170,        0.1271830,
        90.4500,     9726.8499713,        0.9095500,        0.0904500,        0.9431293,        0.9289116,     1263.3150027,     1761.0672033,      943.1293010,     1761.0672033,        0.8578233,        0.1421767,
       100.5000,     9726.8499679,        0.8995000,        0.1005000,        0.9372071,        0.9215089,     1270.3500030,     1737.9969547,      937.2071206,     1737.9969547,        0.8430178,        0.1569822,
       110.5500,     9726.8499644,        0.8894500,        0.1105500,        0.9313588,        0.9141986,     1277.3850034,     1715.5233377,      931.3588501,     1715.5233377,        0.8283971,        0.1716029,
       120.6000,     9726.8499609,        0.8794000,        0.1206000,        0.9255831,        0.9069789,     1284.4200037,     1693.6235031,      925.5831147,     1693.6235031,        0.8139578,        0.1860422,
       130.6500,     9726.8499573,        0.8693500,        0.1306500,        0.9198786,        0.8998482,     1291.4550041,     1672.2757535,      919.8785732,     1672.2757535,        0.7996964,        0.2003036,
       140.7000,     9726.8499537,        0.8593000,        0.1407000,        0.9142439,        0.8928049,     1298.4900044,     1651.4594723,      914.2439172,     1651.4594723,        0.7856098,        0.2143902,
       150.7500,     9726.8499500,        0.8492500,        0.1507500,        0.9086778,        0.8858473,     1305.5250048,     1631.1550564,      908.6778704,     1631.1550564,        0.7716947,        0.2283053,
       160.8000,     9726.8499463,        0.8392000,        0.1608000,        0.9031792,        0.8789740,     1312.5600052,     1611.3438552,      903.1791872,     1611.3438552,        0.7579480,        0.2420520,
       170.8500,     9726.8499425,        0.8291500,        0.1708500,        0.8977466,        0.8721833,     1319.5950056,     1592.0081134,      897.7466522,     1592.0081134,        0.7443666,        0.2556334,
       180.9000,     9726.8499386,        0.8191000,        0.1809000,        0.8923791,        0.8654739,     1326.6300060,     1573.1309177,      892.3790787,     1573.1309177,        0.7309477,        0.2690523,
