Time (s),Temperature (K),Total Mass 0.0% O2 (norm),Reacting Mass Decay 0.0% O2 (norm),MLR 0.0% O2 (g/s),Total Mass 4.3% O2 (norm),Reacting Mass Decay 4.3% O2 (norm),MLR 4.3% O2 (g/s),Total Mass 8.2% O2 (norm),Reacting Mass Decay 8.2% O2 (norm),MLR 8.2% O2 (g/s),Total Mass 20.5% O2 (norm),Reacting Mass Decay 20.5% O2 (norm),MLR 20.5% O2 (g/s)
0,300,1,1,0,1,1,4.97122e-26,1,1,9.48e-26,1,1,2.37e-25
18.018,301.502,1,1,0,1,1,7.26473e-26,1,1,1.38537e-25,1,1,3.46342e-25
36.036,303.003,1,1,0,1,1,1.05765e-25,1,1,2.01692e-25,1,1,5.0423e-25
54.0541,304.505,1,1,0,1,1,1.53412e-25,1,1,2.92553e-25,1,1,7.31381e-25
72.0721,306.006,1,1,0,1,1,2.21712e-25,1,1,4.22799e-25,1,1,1.057e-24
90.0901,307.508,1,1,0,1,1,3.19269e-25,1,1,6.08838e-25,1,1,1.5221e-24
108.108,309.009,1,1,0,1,1,4.58127e-25,1,1,8.73637e-25,1,1,2.18409e-24
126.126,310.511,1,1,0,1,1,6.55086e-25,1,1,1.24923e-24,1,1,3.12308e-24
144.144,312.012,1,1,0,1,1,9.33503e-25,1,1,1.78017e-24,1,1,4.45042e-24
162.162,313.514,1,1,0,1,1,1.32575e-24,1,1,2.52817e-24,1,1,6.32041e-24
180.18,315.015,1,1,0,1,1,1.87652e-24,1,1,3.57847e-24,1,1,8.94618e-24
198.198,316.517,1,1,0,1,1,2.64736e-24,1,1,5.04845e-24,1,1,1.26211e-23
216.216,318.018,1,1,0,1,1,3.72273e-24,1,1,7.09916e-24,1,1,1.77479e-23
234.234,319.52,1,1,0,1,1,5.21818e-24,1,1,9.95095e-24,1,1,2.48774e-23
252.252,321.021,1,1,0,1,1,7.2913e-24,1,1,1.39043e-23,1,1,3.47608e-23
270.27,322.523,1,1,0,1,1,1.01564e-23,1,1,1.93679e-23,1,1,4.84198e-23
288.288,324.024,1,1,0,1,1,1.41038e-23,1,1,2.68957e-23,1,1,6.72391e-23
306.306,325.526,1,1,0,1,1,1.95263e-23,1,1,3.72362e-23,1,1,9.30905e-23
324.324,327.027,1,1,0,1,1,2.69529e-23,1,1,5.13986e-23,1,1,1.28497e-22
342.342,328.529,1,1,0,1,1,3.70948e-23,1,1,7.07389e-23,1,1,1.76847e-22
360.36,330.03,1,1,0,1,1,5.09046e-23,1,1,9.70739e-23,1,1,2.42685e-22
378.378,331.532,1,1,0,1,1,6.96557e-23,1,1,1.32832e-22,1,1,3.3208e-22
396.396,333.033,1,1,0,1,1,9.50447e-23,1,1,1.81248e-22,1,1,4.5312e-22
414.414,334.535,1,1,0,1,1,1.29327e-22,1,1,2.46623e-22,1,1,6.16557e-22
432.432,336.036,1,1,0,1,1,1.7549e-22,1,1,3.34655e-22,1,1,8.36638e-22
