Time (s),Temperature (K),Rate Constant k (1/s),Mass Fraction Y (-),Mass m (kg),MLR = -dm/dt (g/s)
0,300,3.61138e-16,1,1,3.61138e-13
8.40841,300.701,4.20542e-16,1,1,4.20542e-13
16.8168,301.401,4.89371e-16,1,1,4.89371e-13
25.2252,302.102,5.69064e-16,1,1,5.69064e-13
33.6336,302.803,6.61274e-16,1,1,6.61274e-13
42.042,303.504,7.67892e-16,1,1,7.67892e-13
50.4505,304.204,8.91086e-16,1,1,8.91086e-13
58.8589,304.905,1.03334e-15,1,1,1.03334e-12
67.2673,305.606,1.19749e-15,1,1,1.19749e-12
75.6757,306.306,1.38677e-15,1,1,1.38677e-12
84.0841,307.007,1.6049e-15,1,1,1.6049e-12
92.4925,307.708,1.85611e-15,1,1,1.85611e-12
100.901,308.408,2.14522e-15,1,1,2.14522e-12
109.309,309.109,2.47774e-15,1,1,2.47774e-12
117.718,309.81,2.85993e-15,1,1,2.85993e-12
126.126,310.511,3.29894e-15,1,1,3.29894e-12
134.535,311.211,3.80289e-15,1,1,3.80289e-12
142.943,311.912,4.38102e-15,1,1,4.38102e-12
151.351,312.613,5.04385e-15,1,1,5.04385e-12
159.76,313.313,5.8033e-15,1,1,5.8033e-12
168.168,314.014,6.67292e-15,1,1,6.67292e-12
176.577,314.715,7.66809e-15,1,1,7.66809e-12
184.985,315.415,8.80622e-15,1,1,8.80622e-12
193.393,316.116,1.01071e-14,1,1,1.01071e-11
201.802,316.817,1.1593e-14,1,1,1.1593e-11
210.21,317.518,1.32894e-14,1,1,1.32894e-11
218.619,318.218,1.52249e-14,1,1,1.52249e-11
227.027,318.919,1.74318e-14,1,1,1.74318e-11
235.435,319.62,1.99468e-14,1,1,1.99468e-11
243.844,320.32,2.28111e-14,1,1,2.28111e-11
252.252,321.021,2.60715e-14,1,1,2.60715e-11
260.661,321.722,2.97806e-14,1,1,2.97806e-11
269.069,322.422,3.39977e-14,1,1,3.39977e-11
277.477,323.123,3.87897e-14,1,1,3.87897e-11
285.886,323.824,4.42318e-14,1,1,4.42318e-11
294.294,324.525,5.04089e-14,1,1,5.04089e-11
302.703,325.225,5.74163e-14,1,1,5.74163e-11
311.111,325.926,6.53612e-14,1,1,6.53612e-11
319.52,326.627,7.43641e-14,1,1,7.43641e-11
327.928,327.327,8.45603e-14,1,1,8.45603e-11
336.336,328.028,9.61018e-14,1,1,9.61018e-11
344.745,328.729,1.09159e-13,1,1,1.09159e-10
353.153,329.429,1.23923e-13,1,1,1.23923e-10
361.562,330.13,1.40608e-13,1,1,1.40608e-10
369.97,330.831,1.59455e-13,1,1,1.59455e-10
378.378,331.532,1.80731e-13,1,1,1.80731e-10
386.787,332.232,2.04739e-13,1,1,2.04739e-10
395.195,332.933,2.31813e-13,1,1,2.31813e-10
403.604,333.634,2.62331e-13,1,1,2.62331e-10
412.012,334.334,2.96712e-13,1,1,2.96712e-10
420.42,335.035,3.35427e-13,1,1,3.35427e-10
428.829,335.736,3.79e-13,1,1,3.79e-10
437.237,336.436,4.28014e-13,1,1,4.28014e-10
445.646,337.137,4.83124e-13,1,1,4.83124e-10
454.054,337.838,5.45054e-13,1,1,5.45054e-10
462.462,338.539,6.14617e-13,1,1,6.14617e-10
470.871,339.239,6.92714e-13,1,1,6.92714e-10
479.279,339.94,7.8035e-13,1,1,7.8035e-10
487.688,340.641,8.78641e-13,1,1,8.78641e-10
496.096,341.341,9.88832e-13,1,1,9.88832e-10
504.505,342.042,1.1123e-12,1,1,1.1123e-09
512.913,342.743,1.25059e-12,1,1,1.25059e-09
521.321,343.443,1.4054e-12,1,1,1.4054e-09
529.73,344.144,1.57862e-12,1,1,1.57862e-09
538.138,344.845,1.77235e-12,1,1,1.77235e-09
546.547,345.546,1.98892e-12,1,1,1.98892e-09
554.955,346.246,2.23092e-12,1,1,2.23092e-09
563.363,346.947,2.5012e-12,1,1,2.5012e-09
571.772,347.648,2.80293e-12,1,1,2.80293e-09
580.18,348.348,3.13962e-12,1,1,3.13962e-09
588.589,349.049,3.51516e-12,1,1,3.51516e-09
596.997,349.75,3.93383e-12,1,1,3.93383e-09
605.405,350.45,4.40039e-12,1,1,4.40039e-09
