t,001_TEMPERATURE( 0.0000_ 0.0000_ 0.0000),002_THERMAL_CONDUCTIVITY_Z( 0.0000_ 0.0000_ 0.0000),003_SPECIFIC_HEAT_CAPACITY( 0.0000_ 0.0000_ 0.0000),004_SOLID_DENSITY( 0.0000_ 0.0000_ 0.0000),005_BULK_DENSITY( 0.0000_ 0.0000_ 0.0000),
         0.0000,       26.8500000,        0.2000000,     1550.0000000,     1600.0000000,     1430.0000000,
        10.0000,       36.8500000,        0.2023085,     1565.3225074,     1600.0000000,     1430.0000000,
        20.0000,       46.8500000,        0.2045691,     1580.3028206,     1600.0000000,     1430.0000000,
        30.0000,       56.8500000,        0.2067842,     1594.9589271,     1600.0000000,     1430.0000000,
        40.0000,       66.8500000,        0.2089562,     1609.3073577,     1600.0000000,     1430.0000000,
        50.0000,       76.8500000,        0.2110869,     1623.3633433,     1600.0000000,     1430.0000000,
        60.0000,       86.8500000,        0.2131785,     1637.1409511,     1600.0000000,     1430.0000000,
        70.0000,       96.8500000,        0.2152327,     1650.6532031,     1600.0000000,     1430.0000000,
        80.0000,      106.8500000,        0.2172510,     1663.9121796,     1600.0000000,     1430.0000000,
        90.0000,      116.8500000,        0.2192351,     1676.9291104,     1600.0000000,     1430.0000000,
       100.0000,      126.8500000,        0.2211865,     1689.7144542,     1600.0000000,     1430.0000000,
       110.0000,      136.8500000,        0.2231063,     1702.2779700,     1600.0000000,     1430.0000000,
       120.0000,      146.8500000,        0.2249960,     1714.6287792,     1600.0000000,     1430.0000000,
       130.0000,      156.8500000,        0.2268567,     1726.7754217,     1600.0000000,     1430.0000000,
       140.0000,      166.8500000,        0.2286894,     1738.7259052,     1600.0000000,     1430.0000000,
       150.0000,      176.8500000,        0.2304952,     1750.4877500,     1600.0000000,     1430.0000000,
       160.0000,      186.8500000,        0.2322752,     1762.0680284,     1600.0000000,     1430.0000000,
       170.0000,      196.8500000,        0.2340301,     1773.4734007,     1600.0000000,     1430.0000000,
       180.0000,      206.8500000,        0.2357610,     1784.7101475,     1600.0000000,     1430.0000000,
       190.0000,      216.8500000,        0.2374686,     1795.7841984,     1600.0000000,     1430.0000000,
       200.0000,      226.8500000,        0.2391537,     1806.7011586,     1600.0000000,     1430.0000000,
       210.0000,      236.8500000,        0.2408170,     1817.4663326,     1600.0000000,     1430.0000000,
       220.0000,      246.8500000,        0.2424592,     1828.0847462,     1600.0000000,     1430.0000000,
       230.0000,      256.8500000,        0.2440811,     1838.5611656,     1600.0000000,     1430.0000000,
       240.0000,      266.8500000,        0.2456832,     1848.9001160,     1600.0000000,     1430.0000000,
       250.0000,      276.8500000,        0.2472661,     1859.1058977,     1600.0000000,     1430.0000000,
       260.0000,      286.8500000,        0.2488304,     1869.1826012,     1600.0000000,     1430.0000000,
       270.0000,      296.8500000,        0.2503766,     1879.1341210,     1600.0000000,     1430.0000000,
       280.0000,      306.8500000,        0.2519053,     1888.9641680,     1600.0000000,     1430.0000000,
       290.0000,      316.8500000,        0.2534170,     1898.6762818,     1600.0000000,     1430.0000000,
       300.0000,      326.8500000,        0.2549121,     1908.2738407,     1600.0000000,     1430.0000000,
       310.0000,      336.8500000,        0.2563911,     1917.7600717,     1600.0000000,     1430.0000000,
       320.0000,      346.8500000,        0.2578545,     1927.1380601,     1600.0000000,     1430.0000000,
       330.0000,      356.8500000,        0.2593025,     1936.4107572,     1600.0000000,     1430.0000000,
       340.0000,      366.8500000,        0.2607357,     1945.5809890,     1600.0000000,     1430.0000000,
       350.0000,      376.8500000,        0.2621544,     1954.6514623,     1600.0000000,     1430.0000000,
       360.0000,      386.8500000,        0.2635591,     1963.6247726,     1600.0000000,     1430.0000000,
       370.0000,      396.8500000,        0.2649499,     1972.5034095,     1600.0000000,     1430.0000000,
       380.0000,      406.8500000,        0.2663273,     1981.2897628,     1600.0000000,     1430.0000000,
       390.0000,      416.8500000,        0.2676916,     1989.9861279,     1600.0000000,     1430.0000000,
       400.0000,      426.8500000,        0.2690431,     1998.5947109,     1600.0000000,     1430.0000000,
       410.0000,      436.8500000,        0.2703821,     2007.1176332,     1600.0000000,     1430.0000000,
       420.0000,      446.8500000,        0.2717089,     2015.5569358,     1600.0000000,     1430.0000000,
       430.0000,      456.8500000,        0.2730238,     2023.9145836,     1600.0000000,     1430.0000000,
       440.0000,      466.8500000,        0.2743271,     2032.1924693,     1600.0000000,     1430.0000000,
       450.0000,      476.8500000,        0.2756189,     2040.3924167,     1600.0000000,     1430.0000000,
       460.0000,      486.8500000,        0.2768996,     2048.5161843,     1600.0000000,     1430.0000000,
       470.0000,      496.8500000,        0.2781694,     2056.5654683,     1600.0000000,     1430.0000000,
       480.0000,      506.8500000,        0.2794285,     2064.5419058,     1600.0000000,     1430.0000000,
       490.0000,      516.8500000,        0.2806771,     2072.4470776,     1600.0000000,     1430.0000000,
       500.0000,      526.8500000,        0.2819156,     2080.2825105,     1600.0000000,     1430.0000000,
       510.0000,      536.8500000,        0.2831440,     2088.0496800,     1600.0000000,     1430.0000000,
       520.0000,      546.8500000,        0.2843626,     2095.7500127,     1600.0000000,     1430.0000000,
       530.0000,      556.8500000,        0.2855715,     2103.3848885,     1600.0000000,     1430.0000000,
       540.0000,      566.8500000,        0.2867711,     2110.9556425,     1600.0000000,     1430.0000000,
       550.0000,      576.8500000,        0.2879613,     2118.4635670,     1600.0000000,     1430.0000000,
       560.0000,      586.8500000,        0.2891426,     2125.9099135,     1600.0000000,     1430.0000000,
