Time,Back,50 cm,Front
0.0,1000.00,1000.00,1000.00
62.06896551724138,999.14,978.31,770.99
124.13793103448276,985.81,932.61,700.00
186.20689655172413,958.01,888.61,652.31
248.27586206896552,923.03,847.59,615.26
310.3448275862069,885.47,808.98,583.90
372.41379310344826,847.59,772.39,555.88
434.48275862068965,810.44,737.58,530.05
496.55172413793105,774.48,704.40,505.83
558.6206896551724,739.92,672.74,482.91
620.6896551724138,706.80,642.51,461.13
682.7586206896552,675.11,613.66,440.38
744.8275862068965,644.82,586.10,420.58
806.8965517241379,615.88,559.78,401.68
868.9655172413793,588.23,534.64,383.64
931.0344827586207,561.82,510.64,366.41
993.1034482758621,536.59,487.71,349.96
1055.1724137931035,512.50,465.81,334.24
1117.2413793103449,489.49,444.89,319.24
1179.3103448275863,467.51,424.92,304.90
1241.3793103448277,446.51,405.84,291.21
1303.448275862069,426.46,387.61,278.13
1365.5172413793105,407.32,370.21,265.65
1427.5862068965519,389.03,353.58,253.72
1489.655172413793,371.56,337.71,242.32
1551.7241379310344,354.87,322.54,231.44
1613.7931034482758,338.94,308.06,221.05
1675.8620689655172,323.72,294.23,211.13
1737.9310344827586,309.18,281.02,201.65
1800.0,295.30,268.40,192.59
