Time,Back,8 cm,6 cm,4 cm,2 cm,Front
0.0,20.00,20.00,20.00,20.00,20.00,20.00
10.050251256281408,20.00,20.00,20.00,20.00,20.00,102.98
20.100502512562816,20.00,20.00,20.00,20.00,20.10,107.71
30.150753768844226,20.00,20.00,20.00,20.00,20.72,109.89
40.20100502512563,20.00,20.00,20.00,20.00,21.98,111.21
50.25125628140704,20.00,20.00,20.00,20.00,23.70,112.12
60.30150753768845,20.00,20.00,20.00,20.02,25.68,112.79
70.35175879396985,20.00,20.00,20.00,20.06,27.76,113.32
80.40201005025126,20.00,20.00,20.00,20.13,29.87,113.75
90.45226130653268,20.00,20.00,20.00,20.24,31.94,114.10
100.50251256281408,20.00,20.00,20.00,20.39,33.95,114.40
110.55276381909549,20.00,20.00,20.00,20.59,35.88,114.66
120.6030150753769,20.00,20.00,20.01,20.84,37.72,114.88
130.6532663316583,20.00,20.00,20.02,21.13,39.47,115.08
140.7035175879397,20.00,20.00,20.03,21.47,41.14,115.26
150.75376884422113,20.00,20.00,20.05,21.84,42.73,115.42
160.80402010050253,20.00,20.00,20.07,22.24,44.23,115.56
170.85427135678393,20.00,20.00,20.10,22.68,45.66,115.70
180.90452261306535,20.00,20.00,20.14,23.13,47.02,115.82
190.95477386934675,20.00,20.00,20.18,23.61,48.32,115.93
201.00502512562815,20.00,20.01,20.24,24.11,49.55,116.03
211.05527638190958,20.00,20.01,20.30,24.62,50.73,116.13
221.10552763819098,20.00,20.01,20.38,25.15,51.85,116.21
231.15577889447238,20.00,20.02,20.46,25.68,52.93,116.30
241.2060301507538,20.00,20.02,20.55,26.22,53.95,116.37
251.2562814070352,20.00,20.03,20.66,26.77,54.93,116.45
261.3065326633166,20.00,20.04,20.77,27.32,55.88,116.52
271.356783919598,20.00,20.05,20.89,27.87,56.78,116.58
281.4070351758794,20.00,20.06,21.02,28.42,57.65,116.64
291.45728643216086,20.01,20.08,21.16,28.97,58.48,116.70
301.50753768844226,20.01,20.10,21.31,29.53,59.28,116.76
311.55778894472365,20.01,20.12,21.46,30.08,60.06,116.81
321.60804020100505,20.01,20.14,21.62,30.62,60.80,116.86
331.65829145728645,20.02,20.17,21.79,31.17,61.52,116.91
341.70854271356785,20.02,20.20,21.97,31.71,62.21,116.95
351.75879396984925,20.03,20.23,22.15,32.24,62.88,117.00
361.8090452261307,20.04,20.26,22.34,32.77,63.53,117.04
371.8592964824121,20.04,20.30,22.54,33.30,64.16,117.08
381.9095477386935,20.05,20.34,22.74,33.82,64.76,117.12
391.9597989949749,20.06,20.39,22.95,34.33,65.35,117.15
402.0100502512563,20.07,20.43,23.16,34.84,65.92,117.19
412.0603015075377,20.09,20.48,23.37,35.35,66.47,117.22
422.11055276381916,20.10,20.54,23.59,35.85,67.01,117.26
432.16080402010056,20.12,20.59,23.81,36.34,67.53,117.29
442.21105527638196,20.14,20.65,24.04,36.82,68.04,117.32
452.26130653266335,20.16,20.72,24.26,37.30,68.53,117.35
462.31155778894475,20.18,20.78,24.50,37.78,69.00,117.38
472.36180904522615,20.20,20.85,24.73,38.25,69.47,117.41
482.4120603015076,20.23,20.92,24.97,38.71,69.92,117.43
492.462311557789,20.26,21.00,25.21,39.16,70.36,117.46
502.5125628140704,20.29,21.08,25.45,39.61,70.79,117.49
512.5628140703518,20.32,21.16,25.69,40.06,71.21,117.51
522.6130653266332,20.36,21.25,25.93,40.50,71.62,117.53
532.6633165829146,20.40,21.33,26.18,40.93,72.02,117.56
542.713567839196,20.44,21.42,26.42,41.35,72.41,117.58
552.7638190954774,20.48,21.52,26.67,41.77,72.78,117.60
562.8140703517588,20.52,21.61,26.92,42.19,73.16,117.62
572.8643216080402,20.57,21.71,27.17,42.60,73.52,117.64
582.9145728643217,20.62,21.81,27.42,43.00,73.87,117.67
592.9648241206031,20.67,21.92,27.67,43.40,74.22,117.69
603.0150753768845,20.73,22.02,27.92,43.80,74.55,117.70
613.0653266331659,20.79,22.13,28.17,44.18,74.89,117.72
623.1155778894473,20.85,22.24,28.42,44.57,75.21,117.74
633.1658291457287,20.91,22.36,28.67,44.95,75.53,117.76
643.2160804020101,20.98,22.47,28.92,45.32,75.84,117.78
653.2663316582915,21.04,22.59,29.17,45.69,76.14,117.79
663.3165829145729,21.11,22.71,29.42,46.05,76.44,117.81
673.3668341708543,21.19,22.83,29.67,46.41,76.73,117.83
683.4170854271357,21.26,22.96,29.92,46.76,77.02,117.84
693.4673366834171,21.34,23.09,30.17,47.11,77.30,117.86
703.5175879396985,21.42,23.21,30.42,47.46,77.57,117.87
713.56783919598,21.51,23.34,30.67,47.80,77.84,117.89
723.6180904522614,21.59,23.48,30.92,48.13,78.11,117.90
733.6683417085428,21.68,23.61,31.16,48.47,78.37,117.92
743.7185929648242,21.77,23.75,31.41,48.79,78.62,117.93
753.7688442211056,21.86,23.89,31.66,49.12,78.87,117.95
