Time,Back,8 cm,6 cm,4 cm,2 cm,Front
0.0,20.00,20.00,20.00,20.00,20.00,20.00
70.35175879396985,20.00,20.00,20.00,20.02,23.09,72.40
140.7035175879397,20.00,20.00,20.01,20.63,30.92,81.84
211.05527638190955,20.00,20.00,20.13,22.32,38.02,87.05
281.4070351758794,20.00,20.03,20.50,24.68,43.87,90.52
351.75879396984925,20.01,20.11,21.16,27.31,48.69,93.06
422.1105527638191,20.05,20.28,22.06,29.98,52.73,95.03
492.46231155778895,20.13,20.56,23.14,32.58,56.16,96.62
562.8140703517588,20.29,20.94,24.35,35.06,59.13,97.93
633.1658291457286,20.52,21.43,25.63,37.41,61.71,99.04
703.5175879396985,20.84,22.01,26.96,39.61,64.00,100.00
773.8693467336684,21.25,22.67,28.31,41.67,66.04,100.83
844.2211055276382,21.75,23.42,29.67,43.60,67.87,101.57
914.572864321608,22.34,24.23,31.02,45.42,69.53,102.23
984.9246231155779,23.01,25.09,32.36,47.12,71.04,102.82
1055.2763819095478,23.74,26.00,33.68,48.73,72.42,103.36
1125.6281407035176,24.54,26.95,34.97,50.25,73.69,103.85
1195.9798994974874,25.39,27.94,36.25,51.68,74.87,104.30
1266.3316582914572,26.29,28.95,37.50,53.05,75.97,104.71
1336.6834170854272,27.23,29.99,38.73,54.34,76.99,105.10
1407.035175879397,28.20,31.04,39.94,55.58,77.95,105.45
1477.3869346733668,29.20,32.11,41.12,56.76,78.85,105.79
1547.7386934673368,30.22,33.18,42.29,57.90,79.70,106.10
1618.0904522613066,31.26,34.26,43.43,58.98,80.51,106.39
1688.4422110552764,32.32,35.35,44.55,60.03,81.28,106.67
1758.7939698492462,33.38,36.43,45.66,61.05,82.01,106.94
1829.145728643216,34.46,37.52,46.74,62.03,82.70,107.19
1899.497487437186,35.53,38.60,47.81,62.97,83.37,107.43
1969.8492462311558,36.61,39.68,48.85,63.89,84.01,107.66
2040.2010050251256,37.69,40.75,49.89,64.79,84.63,107.88
2110.5527638190956,38.77,41.82,50.90,65.66,85.23,108.09
2180.904522613065,39.84,42.88,51.90,66.50,85.81,108.29
2251.256281407035,40.91,43.93,52.88,67.33,86.37,108.49
2321.608040201005,41.97,44.97,53.85,68.14,86.91,108.68
2391.959798994975,43.03,46.01,54.80,68.92,87.43,108.86
2462.311557788945,44.08,47.03,55.74,69.69,87.95,109.04
