Time,Back,8 cm,6 cm,4 cm,2 cm,Front
0.0,20.00,20.00,20.00,20.00,20.00,20.00
251.25628140703517,20.00,20.00,20.05,20.62,24.13,35.64
502.51256281407035,20.03,20.11,20.64,22.76,28.74,41.01
753.7688442211055,20.22,20.51,21.78,25.19,32.40,44.76
1005.0251256281407,20.70,21.24,23.19,27.53,35.44,47.70
1256.2814070351758,21.47,22.21,24.72,29.71,38.03,50.13
1507.537688442211,22.48,23.38,26.29,31.75,40.31,52.23
1758.7939698492462,23.67,24.69,27.89,33.65,42.34,54.07
2010.0502512562814,24.99,26.09,29.50,35.46,44.19,55.72
2261.3065326633164,26.40,27.56,31.10,37.17,45.90,57.24
2512.5628140703516,27.87,29.07,32.69,38.82,47.50,58.63
2763.819095477387,29.38,30.60,34.26,40.40,49.01,59.95
3015.075376884422,30.91,32.14,35.81,41.93,50.45,61.19
3266.331658291457,32.45,33.67,37.34,43.42,51.82,62.37
3517.5879396984924,33.98,35.20,38.85,44.87,53.15,63.51
3768.8442211055276,35.51,36.72,40.33,46.28,54.44,64.60
4020.100502512563,37.03,38.22,41.79,47.66,55.69,65.67
4271.356783919598,38.52,39.70,43.22,49.00,56.90,66.70
4522.613065326633,40.00,41.17,44.63,50.32,58.08,67.70
4773.869346733668,41.46,42.60,46.02,51.62,59.24,68.68
5025.125628140703,42.89,44.02,47.38,52.88,60.37,69.64
5276.381909547738,44.30,45.41,48.72,54.12,61.48,70.58
5527.638190954774,45.69,46.78,50.03,55.34,62.57,71.50
5778.894472361809,47.05,48.13,51.32,56.53,63.63,72.40
6030.150753768844,48.39,49.45,52.58,57.71,64.67,73.28
6281.407035175879,49.71,50.74,53.82,58.85,65.69,74.14
6532.663316582914,51.00,52.02,55.04,59.98,66.70,74.99
6783.91959798995,52.27,53.27,56.24,61.09,67.68,75.82
7035.175879396985,53.52,54.50,57.41,62.17,68.65,76.63
7286.43216080402,54.74,55.70,58.57,63.24,69.59,77.43
7537.688442211055,55.94,56.89,59.70,64.29,70.52,78.22
7788.94472361809,57.12,58.05,60.81,65.31,71.43,78.99
8040.201005025126,58.28,59.19,61.90,66.32,72.33,79.75
8291.45728643216,59.42,60.31,62.97,67.31,73.21,80.49
8542.713567839195,60.53,61.41,64.02,68.28,74.07,81.22
8793.96984924623,61.63,62.49,65.05,69.23,74.92,81.93
9045.226130653265,62.71,63.55,66.06,70.17,75.75,82.63
9296.4824120603,63.76,64.59,67.06,71.09,76.56,83.32
9547.738693467336,64.80,65.61,68.03,71.99,77.36,84.00
9798.994974874371,65.81,66.61,68.99,72.87,78.15,84.66
10050.251256281406,66.81,67.60,69.93,73.74,78.92,85.31
10301.507537688442,67.79,68.56,70.85,74.59,79.68,85.95
10552.763819095477,68.75,69.51,71.76,75.43,80.42,86.58
10804.020100502512,69.70,70.44,72.65,76.25,81.15,87.19
11055.276381909547,70.63,71.35,73.52,77.06,81.87,87.80
11306.532663316582,71.53,72.25,74.38,77.85,82.57,88.39
11557.788944723618,72.43,73.13,75.22,78.63,83.26,88.97
11809.045226130653,73.30,73.99,76.04,79.39,83.93,89.55
12060.301507537688,74.16,74.84,76.85,80.14,84.60,90.11
12311.557788944723,75.01,75.67,77.65,80.87,85.25,90.66
12562.814070351758,75.84,76.49,78.43,81.59,85.89,91.20
12814.070351758794,76.65,77.29,79.19,82.30,86.52,91.73
13065.326633165829,77.45,78.08,79.95,82.99,87.14,92.25
13316.582914572864,78.23,78.85,80.68,83.68,87.74,92.76
13567.8391959799,79.00,79.61,81.41,84.35,88.34,93.26
13819.095477386934,79.76,80.35,82.12,85.00,88.92,93.76
14070.35175879397,80.50,81.08,82.82,85.65,89.49,94.24
14321.608040201005,81.23,81.80,83.50,86.28,90.06,94.71
14572.86432160804,81.94,82.51,84.17,86.90,90.61,95.18
14824.120603015075,82.64,83.20,84.83,87.51,91.15,95.64
15075.37688442211,83.33,83.87,85.48,88.11,91.68,96.09
15326.633165829146,84.01,84.54,86.12,88.70,92.20,96.53
15577.88944723618,84.67,85.19,86.74,89.27,92.71,96.96
15829.145728643216,85.32,85.83,87.36,89.84,93.22,97.38
16080.402010050251,85.96,86.46,87.96,90.40,93.71,97.80
16331.658291457286,86.59,87.08,88.55,90.94,94.19,98.21
16582.91457286432,87.20,87.69,89.13,91.48,94.67,98.61
16834.170854271357,87.81,88.28,89.70,92.00,95.14,99.01
17085.42713567839,88.40,88.87,90.25,92.52,95.60,99.39
17336.683417085427,88.98,89.44,90.80,93.03,96.04,99.77
17587.93969849246,89.56,90.00,91.34,93.52,96.49,100.14
17839.195979899498,90.12,90.56,91.87,94.01,96.92,100.51
18090.45226130653,90.67,91.10,92.39,94.49,97.34,100.87
18341.708542713568,91.21,91.63,92.90,94.96,97.76,101.22
18592.9648241206,91.74,92.16,93.39,95.42,98.17,101.57
18844.22110552764,92.26,92.67,93.89,95.87,98.57,101.91
19095.47738693467,92.77,93.17,94.37,96.32,98.97,102.24
19346.73366834171,93.27,93.67,94.84,96.75,99.36,102.57
19597.989949748742,93.76,94.15,95.30,97.18,99.74,102.89
19849.24623115578,94.25,94.63,95.76,97.60,100.11,103.20
20100.502512562813,94.72,95.10,96.20,98.02,100.48,103.51
20351.75879396985,95.19,95.55,96.64,98.42,100.84,103.82
20603.015075376883,95.64,96.00,97.07,98.82,101.19,104.12
20854.27135678392,96.09,96.45,97.50,99.21,101.54,104.41
21105.527638190953,96.53,96.88,97.91,99.59,101.88,104.70
21356.78391959799,96.97,97.31,98.32,99.97,102.21,104.98
21608.040201005024,97.39,97.72,98.72,100.34,102.54,105.25
21859.29648241206,97.81,98.14,99.11,100.70,102.86,105.53
22110.552763819094,98.22,98.54,99.49,101.05,103.18,105.79
22361.80904522613,98.62,98.93,99.87,101.40,103.49,106.05
22613.065326633165,99.01,99.32,100.24,101.75,103.79,106.31
22864.3216080402,99.40,99.70,100.61,102.08,104.09,106.56
23115.577889447235,99.78,100.08,100.96,102.41,104.38,106.81
23366.834170854272,100.15,100.44,101.31,102.74,104.67,107.05
23618.090452261305,100.52,100.80,101.66,103.06,104.95,107.29
23869.346733668342,100.88,101.16,102.00,103.37,105.23,107.53
24120.603015075376,101.23,101.50,102.33,103.67,105.50,107.76
24371.859296482413,101.57,101.85,102.65,103.97,105.77,107.98
24623.115577889446,101.91,102.18,102.97,104.27,106.03,108.20
24874.371859296483,102.25,102.51,103.29,104.56,106.29,108.42
25125.628140703517,102.57,102.83,103.60,104.84,106.54,108.63
25376.884422110554,102.89,103.15,103.90,105.12,106.79,108.84
25628.140703517587,103.21,103.46,104.19,105.40,107.03,109.05
25879.396984924624,103.52,103.76,104.49,105.67,107.27,109.25
26130.653266331658,103.82,104.06,104.77,105.93,107.51,109.45
26381.909547738695,104.12,104.36,105.05,106.19,107.74,109.64
26633.165829145728,104.41,104.64,105.33,106.44,107.96,109.83
26884.422110552765,104.70,104.93,105.60,106.69,108.18,110.02
27135.6783919598,104.98,105.20,105.86,106.94,108.40,110.21
27386.934673366835,105.26,105.48,106.12,107.18,108.62,110.39
27638.19095477387,105.53,105.74,106.38,107.42,108.82,110.56
27889.447236180906,105.80,106.01,106.63,107.65,109.03,110.74
28140.70351758794,106.06,106.27,106.88,107.88,109.23,110.91
28391.959798994976,106.32,106.52,107.12,108.10,109.43,111.08
28643.21608040201,106.57,106.77,107.36,108.32,109.63,111.24
28894.472361809047,106.82,107.01,107.59,108.53,109.82,111.40
29145.72864321608,107.06,107.25,107.82,108.74,110.00,111.56
29396.984924623117,107.30,107.48,108.04,108.95,110.19,111.72
29648.24120603015,107.53,107.72,108.26,109.16,110.37,111.87
29899.497487437187,107.76,107.94,108.48,109.36,110.55,112.02
30150.75376884422,107.99,108.16,108.69,109.55,110.72,112.16
30402.010050251258,108.21,108.38,108.90,109.74,110.89,112.31
30653.26633165829,108.42,108.60,109.10,109.93,111.06,112.45
30904.52261306533,108.64,108.81,109.30,110.12,111.22,112.59
31155.77889447236,108.85,109.01,109.50,110.30,111.39,112.73
31407.0351758794,109.05,109.21,109.69,110.48,111.55,112.86
31658.291457286432,109.25,109.41,109.88,110.65,111.70,112.99
31909.54773869347,109.45,109.61,110.07,110.83,111.85,113.12
32160.804020100502,109.65,109.80,110.25,111.00,112.00,113.25
32412.060301507536,109.84,109.99,110.43,111.16,112.15,113.37
32663.316582914573,110.03,110.17,110.61,111.32,112.30,113.49
32914.572864321606,110.21,110.35,110.78,111.48,112.44,113.61
33165.82914572864,110.39,110.53,110.95,111.64,112.58,113.73
33417.08542713568,110.57,110.71,111.12,111.80,112.71,113.85
33668.34170854271,110.74,110.88,111.28,111.95,112.85,113.96
33919.59798994975,110.91,111.05,111.44,112.10,112.98,114.07
34170.85427135678,111.08,111.21,111.60,112.24,113.11,114.18
34422.11055276382,111.24,111.37,111.76,112.38,113.24,114.29
34673.366834170854,111.40,111.53,111.91,112.52,113.36,114.39
34924.62311557789,111.56,111.69,112.06,112.66,113.48,114.50
35175.87939698492,111.72,111.84,112.20,112.80,113.60,114.60
35427.13567839196,111.87,111.99,112.35,112.93,113.72,114.70
35678.391959798995,112.02,112.14,112.49,113.06,113.84,114.80
35929.64824120603,112.17,112.28,112.63,113.19,113.95,114.89
36180.90452261306,112.31,112.43,112.76,113.31,114.06,114.99
36432.1608040201,112.45,112.56,112.90,113.44,114.17,115.08
36683.417085427136,112.59,112.70,113.03,113.56,114.28,115.17
