Time,Back,8 cm,6 cm,4 cm,2 cm,Front
0.0,20.00,20.00,20.00,20.00,20.00,20.00
251.25628140703517,20.00,20.00,20.01,20.07,20.45,21.76
502.51256281407035,20.00,20.01,20.07,20.31,21.00,22.48
753.7688442211055,20.02,20.06,20.20,20.60,21.47,23.02
1005.0251256281407,20.08,20.14,20.37,20.90,21.88,23.48
1256.2814070351758,20.17,20.26,20.56,21.18,22.25,23.88
1507.537688442211,20.29,20.40,20.77,21.46,22.59,24.24
1758.7939698492462,20.44,20.57,20.98,21.73,22.91,24.56
2010.0502512562814,20.61,20.75,21.20,21.99,23.20,24.87
2261.3065326633164,20.79,20.94,21.42,22.25,23.49,25.16
2512.5628140703516,20.99,21.15,21.64,22.50,23.76,25.43
2763.819095477387,21.19,21.36,21.87,22.75,24.02,25.70
3015.075376884422,21.41,21.58,22.10,22.99,24.27,25.95
3266.331658291457,21.62,21.80,22.33,23.24,24.52,26.20
3517.5879396984924,21.85,22.03,22.57,23.48,24.77,26.45
3768.8442211055276,22.07,22.25,22.80,23.72,25.01,26.69
4020.100502512563,22.30,22.48,23.03,23.95,25.25,26.92
4271.356783919598,22.53,22.71,23.27,24.19,25.49,27.16
4522.613065326633,22.76,22.95,23.50,24.42,25.72,27.39
4773.869346733668,22.99,23.18,23.73,24.66,25.95,27.62
5025.125628140703,23.23,23.41,23.96,24.89,26.18,27.84
5276.381909547738,23.46,23.64,24.20,25.12,26.41,28.07
5527.638190954774,23.69,23.87,24.43,25.35,26.64,28.30
5778.894472361809,23.92,24.11,24.66,25.58,26.87,28.52
6030.150753768844,24.15,24.34,24.89,25.81,27.10,28.74
6281.407035175879,24.39,24.57,25.12,26.04,27.32,28.97
6532.663316582914,24.62,24.80,25.35,26.27,27.55,29.19
6783.91959798995,24.85,25.03,25.58,26.50,27.77,29.41
7035.175879396985,25.08,25.26,25.81,26.72,28.00,29.63
7286.43216080402,25.31,25.49,26.04,26.95,28.22,29.85
7537.688442211055,25.54,25.72,26.27,27.18,28.45,30.07
7788.94472361809,25.77,25.95,26.50,27.40,28.67,30.29
8040.201005025126,26.00,26.18,26.72,27.63,28.89,30.51
8291.45728643216,26.22,26.41,26.95,27.85,29.11,30.72
8542.713567839195,26.45,26.63,27.17,28.08,29.33,30.94
8793.96984924623,26.68,26.86,27.40,28.30,29.55,31.16
9045.226130653265,26.91,27.09,27.62,28.52,29.77,31.37
9296.4824120603,27.13,27.31,27.85,28.74,29.99,31.59
9547.738693467336,27.36,27.54,28.07,28.97,30.21,31.80
9798.994974874371,27.58,27.76,28.30,29.19,30.43,32.02
10050.251256281406,27.81,27.98,28.52,29.41,30.65,32.23
10301.507537688442,28.03,28.21,28.74,29.63,30.86,32.44
10552.763819095477,28.25,28.43,28.96,29.85,31.08,32.66
10804.020100502512,28.48,28.65,29.18,30.07,31.29,32.87
11055.276381909547,28.70,28.87,29.40,30.28,31.51,33.08
11306.532663316582,28.92,29.10,29.62,30.50,31.73,33.29
11557.788944723618,29.14,29.32,29.84,30.72,31.94,33.50
11809.045226130653,29.36,29.54,30.06,30.94,32.15,33.71
12060.301507537688,29.58,29.76,30.28,31.15,32.37,33.92
12311.557788944723,29.80,29.98,30.50,31.37,32.58,34.13
12562.814070351758,30.02,30.19,30.72,31.58,32.79,34.34
12814.070351758794,30.24,30.41,30.93,31.80,33.00,34.55
13065.326633165829,30.46,30.63,31.15,32.01,33.21,34.75
13316.582914572864,30.67,30.85,31.36,32.23,33.43,34.96
13567.8391959799,30.89,31.06,31.58,32.44,33.64,35.17
13819.095477386934,31.11,31.28,31.79,32.65,33.85,35.37
14070.35175879397,31.32,31.49,32.01,32.86,34.05,35.58
14321.608040201005,31.54,31.71,32.22,33.07,34.26,35.78
14572.86432160804,31.75,31.92,32.44,33.29,34.47,35.99
14824.120603015075,31.97,32.14,32.65,33.50,34.68,36.19
15075.37688442211,32.18,32.35,32.86,33.71,34.89,36.40
15326.633165829146,32.39,32.56,33.07,33.92,35.09,36.60
15577.88944723618,32.61,32.78,33.28,34.12,35.30,36.80
15829.145728643216,32.82,32.99,33.49,34.33,35.50,37.00
16080.402010050251,33.03,33.20,33.70,34.54,35.71,37.20
16331.658291457286,33.24,33.41,33.91,34.75,35.91,37.41
16582.91457286432,33.45,33.62,34.12,34.96,36.12,37.61
16834.170854271357,33.66,33.83,34.33,35.16,36.32,37.81
17085.42713567839,33.87,34.04,34.54,35.37,36.53,38.01
17336.683417085427,34.08,34.25,34.75,35.57,36.73,38.20
17587.93969849246,34.29,34.46,34.95,35.78,36.93,38.40
17839.195979899498,34.50,34.66,35.16,35.98,37.13,38.60
18090.45226130653,34.71,34.87,35.37,36.19,37.33,38.80
18341.708542713568,34.91,35.08,35.57,36.39,37.53,39.00
18592.9648241206,35.12,35.28,35.78,36.59,37.73,39.19
18844.22110552764,35.33,35.49,35.98,36.80,37.93,39.39
19095.47738693467,35.53,35.69,36.18,37.00,38.13,39.58
19346.73366834171,35.74,35.90,36.39,37.20,38.33,39.78
19597.989949748742,35.94,36.10,36.59,37.40,38.53,39.97
19849.24623115578,36.15,36.31,36.79,37.60,38.73,40.17
20100.502512562813,36.35,36.51,37.00,37.80,38.93,40.36
20351.75879396985,36.55,36.71,37.20,38.00,39.12,40.56
20603.015075376883,36.75,36.92,37.40,38.20,39.32,40.75
20854.27135678392,36.96,37.12,37.60,38.40,39.51,40.94
21105.527638190953,37.16,37.32,37.80,38.60,39.71,41.13
21356.78391959799,37.36,37.52,38.00,38.79,39.90,41.33
21608.040201005024,37.56,37.72,38.20,38.99,40.10,41.52
21859.29648241206,37.76,37.92,38.40,39.19,40.29,41.71
22110.552763819094,37.96,38.12,38.59,39.38,40.49,41.90
22361.80904522613,38.16,38.32,38.79,39.58,40.68,42.09
22613.065326633165,38.36,38.52,38.99,39.78,40.87,42.28
22864.3216080402,38.56,38.71,39.19,39.97,41.06,42.46
23115.577889447235,38.75,38.91,39.38,40.16,41.26,42.65
23366.834170854272,38.95,39.11,39.58,40.36,41.45,42.84
23618.090452261305,39.15,39.30,39.77,40.55,41.64,43.03
23869.346733668342,39.34,39.50,39.97,40.74,41.83,43.21
24120.603015075376,39.54,39.70,40.16,40.94,42.02,43.40
24371.859296482413,39.74,39.89,40.36,41.13,42.21,43.59
24623.115577889446,39.93,40.09,40.55,41.32,42.40,43.77
24874.371859296483,40.12,40.28,40.74,41.51,42.58,43.96
25125.628140703517,40.32,40.47,40.93,41.70,42.77,44.14
