Time (s),Temp_at_0.0000m,Temp_at_0.0400m,Temp_at_0.1000m
0.0000,20.0000,20.0000,20.0000
4.0080,24.0227,21.8437,20.4526
8.0160,27.5046,23.6917,20.9193
12.0240,30.6886,25.5439,21.3957
16.0321,33.6564,27.4004,21.8800
20.0401,36.4530,29.2612,22.3714
24.0481,39.1078,31.1263,22.8692
28.0561,41.6415,32.9957,23.3730
32.0641,44.0697,34.8694,23.8825
36.0721,46.4044,36.7475,24.3973
40.0802,48.6554,38.6299,24.9173
44.0882,50.8306,40.5166,25.4422
48.0962,52.9368,42.4077,25.9719
52.1042,54.9795,44.3031,26.5063
56.1122,56.9637,46.2029,27.0451
60.1202,58.8936,48.1069,27.5884
64.1283,60.7729,50.0151,28.1360
68.1363,62.6049,51.9275,28.6878
72.1443,64.3925,53.8439,29.2438
76.1523,66.1383,55.7643,29.8039
80.1603,67.8448,57.6886,30.3679
84.1683,69.5139,59.6165,30.9359
88.1764,71.1477,61.5480,31.5078
92.1844,72.7479,63.4829,32.0836
96.1924,74.3162,65.4210,32.6632
100.2004,75.8541,67.3620,33.2465
104.2084,77.3629,69.3059,33.8335
108.2164,78.8438,71.2523,34.4242
112.2244,80.2982,73.2011,35.0186
116.2325,81.7270,75.1519,35.6165
120.2405,83.1313,77.1047,36.2181
124.2485,84.5120,79.0592,36.8232
128.2565,85.8701,81.0151,37.4318
132.2645,87.2064,82.9722,38.0439
136.2725,88.5217,84.9303,38.6595
140.2806,89.8167,86.8891,39.2786
144.2886,91.0921,88.8485,39.9011
148.2966,92.3485,90.8081,40.5270
152.3046,93.5867,92.7678,41.1563
156.3126,94.8071,94.7274,41.7889
160.3206,96.0103,96.6867,42.4250
164.3287,97.1970,98.6453,43.0643
168.3367,98.3675,100.6033,43.7070
172.3447,99.5223,102.5602,44.3530
176.3527,100.6620,104.5161,45.0023
180.3607,101.7868,106.4706,45.6549
184.3687,102.8974,108.4236,46.3108
188.3768,103.9940,110.3750,46.9699
192.3848,105.0770,112.3245,47.6323
196.3928,106.1468,114.2720,48.2979
200.4008,107.2037,116.2173,48.9668
204.4088,108.2481,118.1604,49.6388
208.4168,109.2803,120.1010,50.3141
212.4248,110.3006,122.0390,50.9926
216.4329,111.3092,123.9743,51.6743
220.4409,112.3065,125.9067,52.3591
224.4489,113.2927,127.8362,53.0472
228.4569,114.2681,129.7626,53.7384
232.4649,115.2330,131.6858,54.4328
236.4729,116.1875,133.6057,55.1303
240.4810,117.1320,135.5222,55.8310
244.4890,118.0665,137.4352,56.5348
248.4970,118.9915,139.3446,57.2418
252.5050,119.9069,141.2503,57.9519
256.5130,120.8132,143.1522,58.6651
260.5210,121.7104,145.0503,59.3815
264.5291,122.5987,146.9445,60.1009
268.5371,123.4784,148.8347,60.8235
272.5451,124.3495,150.7208,61.5492
276.5531,125.2124,152.6027,62.2780
280.5611,126.0670,154.4805,63.0098
284.5691,126.9137,156.3540,63.7448
288.5772,127.7525,158.2232,64.4829
292.5852,128.5836,160.0881,65.2240
296.5932,129.4071,161.9485,65.9683
300.6012,130.2232,163.8045,66.7156
304.6092,131.0321,165.6559,67.4659
308.6172,131.8338,167.5029,68.2194
312.6253,132.6285,169.3452,68.9759
316.6333,133.4163,171.1829,69.7354
320.6413,134.1973,173.0160,70.4980
324.6493,134.9717,174.8444,71.2637
328.6573,135.7395,176.6681,72.0324
332.6653,136.5009,178.4871,72.8042
336.6733,137.2560,180.3013,73.5789
340.6814,138.0049,182.1107,74.3567
344.6894,138.7477,183.9153,75.1376
348.6974,139.4845,185.7151,75.9214
352.7054,140.2154,187.5100,76.7083
356.7134,140.9404,189.3001,77.4982
360.7214,141.6598,191.0853,78.2910
364.7295,142.3735,192.8656,79.0869
368.7375,143.0817,194.6410,79.8858
372.7455,143.7844,196.4116,80.6876
376.7535,144.4818,198.1772,81.4925
380.7615,145.1739,199.9379,82.3003
384.7695,145.8608,201.6936,83.1111
388.7776,146.5425,203.4445,83.9248
392.7856,147.2192,205.1904,84.7415
396.7936,147.8910,206.9313,85.5612
400.8016,148.5578,208.6674,86.3838
404.8096,149.2198,210.3985,87.2093
408.8176,149.8770,212.1246,88.0378
412.8257,150.5296,213.8458,88.8692
416.8337,151.1775,215.5621,89.7035
420.8417,151.8209,217.2735,90.5407
424.8497,152.4598,218.9799,91.3808
428.8577,153.0942,220.6815,92.2238
432.8657,153.7243,222.3781,93.0696
436.8737,154.3500,224.0698,93.9184
440.8818,154.9715,225.7566,94.7700
444.8898,155.5889,227.4385,95.6245
448.8978,156.2020,229.1156,96.4818
452.9058,156.8111,230.7878,97.3420
456.9138,157.4162,232.4551,98.2050
460.9218,158.0172,234.1175,99.0708
464.9299,158.6144,235.7752,99.9394
468.9379,159.2077,237.4280,100.8108
472.9459,159.7971,239.0760,101.6850
476.9539,160.3828,240.7191,102.5620
480.9619,160.9648,242.3575,103.4418
484.9699,161.5430,243.9911,104.3243
488.9780,162.1177,245.6200,105.2096
492.9860,162.6887,247.2441,106.0976
496.9940,163.2562,248.8635,106.9884
501.0020,163.8202,250.4781,107.8818
505.0100,164.3807,252.0880,108.7780
509.0180,164.9378,253.6933,109.6768
513.0261,165.4916,255.2939,110.5784
517.0341,166.0420,256.8898,111.4826
521.0421,166.5891,258.4811,112.3894
525.0501,167.1329,260.0677,113.2989
529.0581,167.6736,261.6498,114.2111
533.0661,168.2110,263.2273,115.1258
537.0741,168.7453,264.8001,116.0432
541.0822,169.2765,266.3685,116.9631
545.0902,169.8046,267.9323,117.8857
549.0982,170.3297,269.4915,118.8108
553.1062,170.8518,271.0463,119.7385
557.1142,171.3709,272.5966,120.6687
561.1222,171.8871,274.1424,121.6014
565.1303,172.4004,275.6838,122.5367
569.1383,172.9108,277.2207,123.4745
573.1463,173.4183,278.7532,124.4147
577.1543,173.9231,280.2814,125.3574
581.1623,174.4250,281.8051,126.3026
585.1703,174.9242,283.3245,127.2503
589.1784,175.4207,284.8396,128.2003
593.1864,175.9146,286.3504,129.1528
597.1944,176.4057,287.8568,130.1077
601.2024,176.8942,289.3590,131.0650
605.2104,177.3801,290.8569,132.0247
609.2184,177.8635,292.3506,132.9867
613.2265,178.3443,293.8401,133.9510
617.2345,178.8225,295.3253,134.9177
621.2425,179.2983,296.8064,135.8868
625.2505,179.7716,298.2833,136.8581
629.2585,180.2424,299.7561,137.8317
633.2665,180.7109,301.2247,138.8076
637.2745,181.1769,302.6893,139.7857
641.2826,181.6405,304.1497,140.7661
645.2906,182.1019,305.6061,141.7487
649.2986,182.5608,307.0585,142.7335
653.3066,183.0175,308.5068,143.7205
657.3146,183.4719,309.9511,144.7097
661.3226,183.9240,311.3914,145.7011
665.3307,184.3740,312.8278,146.6946
669.3387,184.8216,314.2602,147.6902
673.3467,185.2671,315.6887,148.6880
677.3547,185.7105,317.1133,149.6879
681.3627,186.1517,318.5340,150.6898
685.3707,186.5907,319.9508,151.6939
689.3788,187.0277,321.3638,152.6999
693.3868,187.4625,322.7729,153.7081
697.3948,187.8953,324.1782,154.7182
701.4028,188.3260,325.5797,155.7304
705.4108,188.7547,326.9775,156.7446
709.4188,189.1814,328.3715,157.7607
713.4269,189.6061,329.7617,158.7788
717.4349,190.0289,331.1483,159.7989
721.4429,190.4496,332.5311,160.8208
725.4509,190.8685,333.9103,161.8447
729.4589,191.2854,335.2858,162.8705
733.4669,191.7004,336.6577,163.8982
737.4749,192.1135,338.0259,164.9278
741.4830,192.5248,339.3906,165.9592
745.4910,192.9342,340.7516,166.9924
749.4990,193.3418,342.1091,168.0275
753.5070,193.7476,343.4630,169.0644
757.5150,194.1515,344.8134,170.1030
761.5230,194.5537,346.1603,171.1435
765.5311,194.9541,347.5037,172.1857
769.5391,195.3527,348.8436,173.2296
773.5471,195.7497,350.1801,174.2753
777.5551,196.1448,351.5131,175.3226
781.5631,196.5383,352.8427,176.3717
785.5711,196.9301,354.1689,177.4225
789.5792,197.3202,355.4918,178.4749
793.5872,197.7086,356.8112,179.5290
797.5952,198.0954,358.1273,180.5847
801.6032,198.4806,359.4401,181.6420
805.6112,198.8641,360.7495,182.7009
809.6192,199.2460,362.0557,183.7614
813.6273,199.6264,363.3585,184.8235
817.6353,200.0051,364.6581,185.8872
821.6433,200.3823,365.9545,186.9524
825.6513,200.7579,367.2476,188.0191
829.6593,201.1320,368.5375,189.0873
833.6673,201.5046,369.8243,190.1570
837.6754,201.8756,371.1078,191.2283
841.6834,202.2451,372.3882,192.3009
845.6914,202.6132,373.6654,193.3751
849.6994,202.9797,374.9395,194.4506
853.7074,203.3448,376.2105,195.5276
857.7154,203.7085,377.4784,196.6060
861.7234,204.0707,378.7433,197.6858
865.7315,204.4315,380.0050,198.7670
869.7395,204.7908,381.2637,199.8495
873.7475,205.1487,382.5194,200.9333
877.7555,205.5053,383.7721,202.0186
881.7635,205.8604,385.0218,203.1051
885.7715,206.2142,386.2685,204.1929
889.7796,206.5666,387.5122,205.2820
893.7876,206.9177,388.7530,206.3724
