s,C,C,C,C
Time,"Tz0mm","Tz100mm","Tz50mm","Tz75mm"
 0.0000000E+000, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001
 1.0000000E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001
 2.0000000E+001, 3.1047661E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001
 3.0000000E+001, 3.4617533E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001
 4.0000000E+001, 3.6740281E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001
 5.0000000E+001, 3.8394860E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001
 6.0000000E+001, 3.9743501E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001
 7.0000000E+001, 4.0892528E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001
 8.0000000E+001, 4.1894771E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001
 9.0000000E+001, 4.2785029E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001
 1.0000000E+002, 4.3586293E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001
 1.1000000E+002, 4.4314996E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001
 1.2000000E+002, 4.4983242E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001
 1.3000000E+002, 4.5600260E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001
 1.4000000E+002, 4.6173259E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001
 1.5000000E+002, 4.6707992E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001
 1.6000000E+002, 4.7209126E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001
 1.7000000E+002, 4.7680509E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001
 1.8000000E+002, 4.8125351E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001
 1.9000000E+002, 4.8546362E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001
 2.0000000E+002, 4.8945850E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001
 2.1000000E+002, 4.9325801E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001
 2.2000000E+002, 4.9687935E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001
 2.3000000E+002, 5.0033752E+001, 2.5000000E+001, 2.5000001E+001, 2.5000000E+001
 2.4000000E+002, 5.0364570E+001, 2.5000000E+001, 2.5000001E+001, 2.5000000E+001
 2.5000000E+002, 5.0681553E+001, 2.5000000E+001, 2.5000002E+001, 2.5000000E+001
 2.6000000E+002, 5.0985733E+001, 2.5000000E+001, 2.5000003E+001, 2.5000000E+001
 2.7000000E+002, 5.1278031E+001, 2.5000000E+001, 2.5000005E+001, 2.5000000E+001
 2.8000000E+002, 5.1559274E+001, 2.5000000E+001, 2.5000008E+001, 2.5000000E+001
 2.9000000E+002, 5.1830202E+001, 2.5000000E+001, 2.5000012E+001, 2.5000000E+001
 3.0000000E+002, 5.2091487E+001, 2.5000000E+001, 2.5000018E+001, 2.5000000E+001
 3.1000000E+002, 5.2343736E+001, 2.5000000E+001, 2.5000026E+001, 2.5000000E+001
 3.2000000E+002, 5.2587500E+001, 2.5000000E+001, 2.5000038E+001, 2.5000000E+001
 3.3000000E+002, 5.2823283E+001, 2.5000000E+001, 2.5000054E+001, 2.5000000E+001
 3.4000000E+002, 5.3051545E+001, 2.5000000E+001, 2.5000075E+001, 2.5000000E+001
 3.5000000E+002, 5.3272708E+001, 2.5000000E+001, 2.5000103E+001, 2.5000000E+001
 3.6000000E+002, 5.3487159E+001, 2.5000000E+001, 2.5000139E+001, 2.5000000E+001
 3.7000000E+002, 5.3695257E+001, 2.5000000E+001, 2.5000185E+001, 2.5000000E+001
 3.8000000E+002, 5.3897330E+001, 2.5000000E+001, 2.5000243E+001, 2.5000000E+001
 3.9000000E+002, 5.4093684E+001, 2.5000000E+001, 2.5000315E+001, 2.5000000E+001
 4.0000000E+002, 5.4284601E+001, 2.5000000E+001, 2.5000404E+001, 2.5000000E+001
 4.1000000E+002, 5.4470345E+001, 2.5000000E+001, 2.5000512E+001, 2.5000000E+001
 4.2000000E+002, 5.4651159E+001, 2.5000000E+001, 2.5000642E+001, 2.5000000E+001
 4.3000000E+002, 5.4827272E+001, 2.5000000E+001, 2.5000797E+001, 2.5000000E+001
 4.4000000E+002, 5.4998896E+001, 2.5000000E+001, 2.5000982E+001, 2.5000000E+001
 4.5000000E+002, 5.5166230E+001, 2.5000000E+001, 2.5001198E+001, 2.5000000E+001
 4.6000000E+002, 5.5329461E+001, 2.5000000E+001, 2.5001451E+001, 2.5000000E+001
