s,C,C,C
Time,"Front","Back","gaz_temp"
 0.0000000E+000, 2.2700000E+002, 2.2700000E+002,-2.7314999E+002
 2.0000000E+001, 1.9139462E+002, 2.2700000E+002,-2.7314999E+002
 4.0000000E+001, 1.7847566E+002, 2.2700000E+002,-2.7314999E+002
 6.0000000E+001, 1.7005356E+002, 2.2700000E+002,-2.7314999E+002
 8.0000000E+001, 1.6370180E+002, 2.2700000E+002,-2.7314999E+002
 9.0000000E+001, 1.6115575E+002, 2.2700000E+002,-2.7314999E+002
 1.1000000E+002, 1.5641745E+002, 2.2699998E+002,-2.7314999E+002
 1.3000000E+002, 1.5237550E+002, 2.2699986E+002,-2.7314999E+002
 1.5000000E+002, 1.4884348E+002, 2.2699936E+002,-2.7314999E+002
 1.7000000E+002, 1.4570245E+002, 2.2699785E+002,-2.7314999E+002
 1.8000000E+002, 1.4421367E+002, 2.2699635E+002,-2.7314999E+002
 2.0000000E+002, 1.4152260E+002, 2.2699089E+002,-2.7314999E+002
 2.2000000E+002, 1.3905937E+002, 2.2698032E+002,-2.7314999E+002
 2.4000000E+002, 1.3678743E+002, 2.2696213E+002,-2.7314999E+002
 2.6000000E+002, 1.3467850E+002, 2.2693356E+002,-2.7314999E+002
 2.7000000E+002, 1.3369453E+002, 2.2691451E+002,-2.7314999E+002
 2.9000000E+002, 1.3178719E+002, 2.2686513E+002,-2.7314999E+002
 3.1000000E+002, 1.2999524E+002, 2.2679852E+002,-2.7314999E+002
 3.3000000E+002, 1.2830525E+002, 2.2671237E+002,-2.7314999E+002
 3.5000000E+002, 1.2670605E+002, 2.2660464E+002,-2.7314999E+002
 3.6000000E+002, 1.2592896E+002, 2.2654216E+002,-2.7314999E+002
 3.8000000E+002, 1.2444974E+002, 2.2639906E+002,-2.7314999E+002
 4.0000000E+002, 1.2304014E+002, 2.2623091E+002,-2.7314999E+002
 4.2000000E+002, 1.2169380E+002, 2.2603690E+002,-2.7314999E+002
 4.4000000E+002, 1.2040521E+002, 2.2581653E+002,-2.7314999E+002
 4.5000000E+002, 1.1978590E+002, 2.2569640E+002,-2.7314999E+002
 4.7000000E+002, 1.1857458E+002, 2.2543617E+002,-2.7314999E+002
 4.9000000E+002, 1.1741011E+002, 2.2514948E+002,-2.7314999E+002
 5.1000000E+002, 1.1628896E+002, 2.2483659E+002,-2.7314999E+002
 5.3000000E+002, 1.1520798E+002, 2.2449800E+002,-2.7314999E+002
 5.4000000E+002, 1.1467873E+002, 2.2431924E+002,-2.7314999E+002
 5.6000000E+002, 1.1365311E+002, 2.2394318E+002,-2.7314999E+002
 5.8000000E+002, 1.1266109E+002, 2.2354303E+002,-2.7314999E+002
 6.0000000E+002, 1.1170052E+002, 2.2311955E+002,-2.7314999E+002
 6.2000000E+002, 1.1076943E+002, 2.2267360E+002,-2.7314999E+002
 6.3000000E+002, 1.1031623E+002, 2.2244246E+002,-2.7314999E+002
 6.5000000E+002, 1.0942586E+002, 2.2196442E+002,-2.7314999E+002
 6.7000000E+002, 1.0856077E+002, 2.2146611E+002,-2.7314999E+002
 6.9000000E+002, 1.0771951E+002, 2.2094844E+002,-2.7314999E+002
 7.1000000E+002, 1.0690076E+002, 2.2041231E+002,-2.7314999E+002
 7.2000000E+002, 1.0649824E+002, 2.2013760E+002,-2.7314999E+002
 7.4000000E+002, 1.0571107E+002, 2.1957547E+002,-2.7314999E+002
 7.6000000E+002, 1.0494350E+002, 2.1899709E+002,-2.7314999E+002
 7.8000000E+002, 1.0419450E+002, 2.1840332E+002,-2.7314999E+002
 8.0000000E+002, 1.0346311E+002, 2.1779501E+002,-2.7314999E+002
 8.1000000E+002, 1.0310456E+002, 2.1748566E+002,-2.7314999E+002
 8.3000000E+002, 1.0239790E+002, 2.1685704E+002,-2.7314999E+002
 8.5000000E+002, 1.0170675E+002, 2.1621587E+002,-2.7314999E+002
 8.7000000E+002, 1.0103036E+002, 2.1556287E+002,-2.7314999E+002
 8.9000000E+002, 1.0036805E+002, 2.1489876E+002,-2.7314999E+002
 9.0000000E+002, 1.0004140E+002, 2.1456276E+002,-2.7314999E+002
 9.2000000E+002, 9.9398979E+001, 2.1388329E+002,-2.7314999E+002
 9.4000000E+002, 9.8769035E+001, 2.1319440E+002,-2.7314999E+002
 9.6000000E+002, 9.8150993E+001, 2.1249670E+002,-2.7314999E+002
 9.8000000E+002, 9.7544304E+001, 2.1179079E+002,-2.7314999E+002
 9.9000000E+002, 9.7245445E+001, 2.1143494E+002,-2.7314999E+002
 1.0100000E+003, 9.6654823E+001, 2.1071776E+002,-2.7314999E+002
 1.0300000E+003, 9.6074341E+001, 2.0999376E+002,-2.7314999E+002
 1.0500000E+003, 9.5503555E+001, 2.0926343E+002,-2.7314999E+002
 1.0700000E+003, 9.4942039E+001, 2.0852725E+002,-2.7314999E+002
 1.0800000E+003, 9.4664375E+001, 2.0815710E+002,-2.7314999E+002
 1.1000000E+003, 9.4116051E+001, 2.0741301E+002,-2.7314999E+002
 1.1200000E+003, 9.3576050E+001, 2.0666417E+002,-2.7314999E+002
 1.1400000E+003, 9.3044006E+001, 2.0591100E+002,-2.7314999E+002
 1.1600000E+003, 9.2519600E+001, 2.0515387E+002,-2.7314999E+002
 1.1700000E+003, 9.2260345E+001, 2.0477394E+002,-2.7314999E+002
 1.1900000E+003, 9.1746788E+001, 2.0401157E+002,-2.7314999E+002
 1.2100000E+003, 9.1240097E+001, 2.0324614E+002,-2.7314999E+002
 1.2300000E+003, 9.0740005E+001, 2.0247797E+002,-2.7314999E+002
 1.2500000E+003, 9.0246239E+001, 2.0170735E+002,-2.7314999E+002
 1.2600000E+003, 9.0001511E+001, 2.0132123E+002,-2.7314999E+002
 1.2800000E+003, 8.9516777E+001, 2.0054750E+002,-2.7314999E+002
 1.3000000E+003, 8.9037766E+001, 1.9977203E+002,-2.7314999E+002
 1.3200000E+003, 8.8564247E+001, 1.9899507E+002,-2.7314999E+002
 1.3400000E+003, 8.8096016E+001, 1.9821689E+002,-2.7314999E+002
 1.3500000E+003, 8.7863914E+001, 1.9782739E+002,-2.7314999E+002
 1.3700000E+003, 8.7403221E+001, 1.9704776E+002,-2.7314999E+002
 1.3900000E+003, 8.6947327E+001, 1.9626743E+002,-2.7314999E+002
 1.4100000E+003, 8.6496048E+001, 1.9548662E+002,-2.7314999E+002
 1.4300000E+003, 8.6049217E+001, 1.9470549E+002,-2.7314999E+002
 1.4400000E+003, 8.5827347E+001, 1.9431487E+002,-2.7314999E+002
 1.4600000E+003, 8.5386887E+001, 1.9353363E+002,-2.7314999E+002
 1.4800000E+003, 8.4950470E+001, 1.9275250E+002,-2.7314999E+002
 1.5000000E+003, 8.4517967E+001, 1.9197166E+002,-2.7314999E+002
 1.5200000E+003, 8.4089233E+001, 1.9119125E+002,-2.7314999E+002
 1.5300000E+003, 8.3876282E+001, 1.9080125E+002,-2.7314999E+002
 1.5500000E+003, 8.3452950E+001, 1.9002174E+002,-2.7314999E+002
 1.5700000E+003, 8.3033066E+001, 1.8924300E+002,-2.7314999E+002
 1.5900000E+003, 8.2616516E+001, 1.8846515E+002,-2.7314999E+002
 1.6100000E+003, 8.2203186E+001, 1.8768828E+002,-2.7314999E+002
 1.6200000E+003, 8.1997658E+001, 1.8730026E+002,-2.7314999E+002
 1.6400000E+003, 8.1588966E+001, 1.8652510E+002,-2.7314999E+002
 1.6600000E+003, 8.1183228E+001, 1.8575121E+002,-2.7314999E+002
 1.6800000E+003, 8.0780365E+001, 1.8497864E+002,-2.7314999E+002
 1.7000000E+003, 8.0380280E+001, 1.8420753E+002,-2.7314999E+002
 1.7100000E+003, 8.0181274E+001, 1.8382254E+002,-2.7314999E+002
 1.7300000E+003, 7.9785187E+001, 1.8305373E+002,-2.7314999E+002
 1.7500000E+003, 7.9391670E+001, 1.8228656E+002,-2.7314999E+002
 1.7700000E+003, 7.9000641E+001, 1.8152109E+002,-2.7314999E+002
 1.7900000E+003, 7.8612030E+001, 1.8075740E+002,-2.7314999E+002
 1.8000000E+003, 7.8418587E+001, 1.8037624E+002,-2.7314999E+002
 1.8200000E+003, 7.8033470E+001, 1.7961533E+002,-2.7314999E+002
 1.8400000E+003, 7.7650597E+001, 1.7885632E+002,-2.7314999E+002
 1.8600000E+003, 7.7269905E+001, 1.7809932E+002,-2.7314999E+002
 1.8800000E+003, 7.6891342E+001, 1.7734431E+002,-2.7314999E+002
 1.8900000E+003, 7.6702850E+001, 1.7696759E+002,-2.7314999E+002
 1.9100000E+003, 7.6327362E+001, 1.7621573E+002,-2.7314999E+002
 1.9300000E+003, 7.5953850E+001, 1.7546600E+002,-2.7314999E+002
 1.9500000E+003, 7.5582275E+001, 1.7471844E+002,-2.7314999E+002
 1.9700000E+003, 7.5212578E+001, 1.7397310E+002,-2.7314999E+002
 1.9800000E+003, 7.5028412E+001, 1.7360127E+002,-2.7314999E+002
 2.0000000E+003, 7.4661453E+001, 1.7285931E+002,-2.7314999E+002
 2.0200000E+003, 7.4296265E+001, 1.7211964E+002,-2.7314999E+002
 2.0400000E+003, 7.3932808E+001, 1.7138231E+002,-2.7314999E+002
 2.0600000E+003, 7.3571030E+001, 1.7064731E+002,-2.7314999E+002
 2.0700000E+003, 7.3390770E+001, 1.7028070E+002,-2.7314999E+002
 2.0900000E+003, 7.3031456E+001, 1.6954927E+002,-2.7314999E+002
 2.1100000E+003, 7.2673729E+001, 1.6882025E+002,-2.7314999E+002
 2.1300000E+003, 7.2317558E+001, 1.6809364E+002,-2.7314999E+002
 2.1500000E+003, 7.1962921E+001, 1.6736949E+002,-2.7314999E+002
 2.1600000E+003, 7.1786156E+001, 1.6700833E+002,-2.7314999E+002
 2.1800000E+003, 7.1433746E+001, 1.6628786E+002,-2.7314999E+002
 2.2000000E+003, 7.1082779E+001, 1.6556987E+002,-2.7314999E+002
 2.2200000E+003, 7.0733231E+001, 1.6485439E+002,-2.7314999E+002
 2.2400000E+003, 7.0385078E+001, 1.6414139E+002,-2.7314999E+002
 2.2500000E+003, 7.0211525E+001, 1.6378584E+002,-2.7314999E+002
 2.2700000E+003, 6.9865410E+001, 1.6307663E+002,-2.7314999E+002
 2.2900000E+003, 6.9520630E+001, 1.6236993E+002,-2.7314999E+002
 2.3100000E+003, 6.9177147E+001, 1.6166579E+002,-2.7314999E+002
 2.3300000E+003, 6.8834953E+001, 1.6096417E+002,-2.7314999E+002
 2.3400000E+003, 6.8664322E+001, 1.6061432E+002,-2.7314999E+002
 2.3600000E+003, 6.8324013E+001, 1.5991652E+002,-2.7314999E+002
 2.3800000E+003, 6.7984932E+001, 1.5922127E+002,-2.7314999E+002
 2.4000000E+003, 6.7647057E+001, 1.5852856E+002,-2.7314999E+002
 2.4200000E+003, 6.7310371E+001, 1.5783844E+002,-2.7314999E+002
 2.4300000E+003, 6.7142479E+001, 1.5749432E+002,-2.7314999E+002
 2.4500000E+003, 6.6807549E+001, 1.5680801E+002,-2.7314999E+002
 2.4700000E+003, 6.6473770E+001, 1.5612427E+002,-2.7314999E+002
 2.4900000E+003, 6.6141113E+001, 1.5544308E+002,-2.7314999E+002
 2.5100000E+003, 6.5809578E+001, 1.5476443E+002,-2.7314999E+002
 2.5200000E+003, 6.5644226E+001, 1.5442609E+002,-2.7314999E+002
 2.5400000E+003, 6.5314331E+001, 1.5375127E+002,-2.7314999E+002
 2.5600000E+003, 6.4985519E+001, 1.5307901E+002,-2.7314999E+002
 2.5800000E+003, 6.4657768E+001, 1.5240930E+002,-2.7314999E+002
 2.6000000E+003, 6.4331070E+001, 1.5174213E+002,-2.7314999E+002
 2.6100000E+003, 6.4168114E+001, 1.5140950E+002,-2.7314999E+002
 2.6300000E+003, 6.3842968E+001, 1.5074614E+002,-2.7314999E+002
 2.6500000E+003, 6.3518845E+001, 1.5008531E+002,-2.7314999E+002
 2.6700000E+003, 6.3195724E+001, 1.4942700E+002,-2.7314999E+002
 2.6900000E+003, 6.2873604E+001, 1.4877121E+002,-2.7314999E+002
 2.7000000E+003, 6.2712914E+001, 1.4844426E+002,-2.7314999E+002
 2.7200000E+003, 6.2392269E+001, 1.4779225E+002,-2.7314999E+002
 2.7400000E+003, 6.2072594E+001, 1.4714273E+002,-2.7314999E+002
 2.7600000E+003, 6.1753880E+001, 1.4649571E+002,-2.7314999E+002
 2.7800000E+003, 6.1436115E+001, 1.4585120E+002,-2.7314999E+002
 2.7900000E+003, 6.1277588E+001, 1.4552986E+002,-2.7314999E+002
 2.8100000E+003, 6.0961231E+001, 1.4488907E+002,-2.7314999E+002
 2.8300000E+003, 6.0645805E+001, 1.4425073E+002,-2.7314999E+002
 2.8500000E+003, 6.0331299E+001, 1.4361487E+002,-2.7314999E+002
 2.8700000E+003, 6.0017700E+001, 1.4298146E+002,-2.7314999E+002
 2.8800000E+003, 5.9861244E+001, 1.4266568E+002,-2.7314999E+002
 2.9000000E+003, 5.9549000E+001, 1.4203593E+002,-2.7314999E+002
 2.9200000E+003, 5.9237644E+001, 1.4140863E+002,-2.7314999E+002
 2.9400000E+003, 5.8927177E+001, 1.4078375E+002,-2.7314999E+002
 2.9600000E+003, 5.8617588E+001, 1.4016129E+002,-2.7314999E+002
 2.9700000E+003, 5.8463120E+001, 1.3985097E+002,-2.7314999E+002
 2.9900000E+003, 5.8154831E+001, 1.3923212E+002,-2.7314999E+002
 3.0100000E+003, 5.7847404E+001, 1.3861565E+002,-2.7314999E+002
 3.0300000E+003, 5.7540829E+001, 1.3800157E+002,-2.7314999E+002
 3.0500000E+003, 5.7235104E+001, 1.3738988E+002,-2.7314999E+002
 3.0600000E+003, 5.7082554E+001, 1.3708490E+002,-2.7314999E+002
 3.0800000E+003, 5.6778088E+001, 1.3647675E+002,-2.7314999E+002
 3.1000000E+003, 5.6474453E+001, 1.3587094E+002,-2.7314999E+002
 3.1200000E+003, 5.6171642E+001, 1.3526747E+002,-2.7314999E+002
 3.1400000E+003, 5.5869656E+001, 1.3466634E+002,-2.7314999E+002
