s,C,C,C,C,C,C
Time,"TS_x195-40","TS_x145-30","TS_x095-20","TS_x025-40","TS_x195-01","TS_x025-01"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 1.0000000E+001, 6.2690771E+002, 2.3884973E+001, 2.0000710E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 2.0000000E+001, 6.8789858E+002, 5.9843667E+001, 2.0124849E+001, 2.0000027E+001, 2.0000000E+001, 2.0000000E+001
 3.0000000E+001, 7.1078828E+002, 1.1092136E+002, 2.1206009E+001, 2.0002051E+001, 2.0000023E+001, 2.0000000E+001
 4.0000000E+001, 7.2217985E+002, 1.5221459E+002, 2.3601630E+001, 2.0020494E+001, 2.0000366E+001, 2.0000000E+001
 5.0000000E+001, 7.3118619E+002, 1.9407102E+002, 2.8186130E+001, 2.0123937E+001, 2.0003460E+001, 2.0000002E+001
 6.0000000E+001, 7.3764896E+002, 2.2943416E+002, 3.4295566E+001, 2.0430155E+001, 2.0017183E+001, 2.0000031E+001
 7.0000000E+001, 7.4194342E+002, 2.5540491E+002, 4.0363717E+001, 2.0950706E+001, 2.0048859E+001, 2.0000187E+001
 8.0000000E+001, 7.4598214E+002, 2.8158784E+002, 4.8038196E+001, 2.1943876E+001, 2.0127615E+001, 2.0000950E+001
 9.0000000E+001, 7.4927862E+002, 3.0417845E+002, 5.6054442E+001, 2.3399328E+001, 2.0273725E+001, 2.0003407E+001
 1.0000000E+002, 7.5166837E+002, 3.2121392E+002, 6.3028844E+001, 2.5020802E+001, 2.0469670E+001, 2.0008348E+001
 1.1000000E+002, 7.5406795E+002, 3.3885545E+002, 7.1152826E+001, 2.7328118E+001, 2.0797807E+001, 2.0019980E+001
 1.2000000E+002, 7.5613891E+002, 3.5449816E+002, 7.9167860E+001, 3.0042487E+001, 2.1247204E+001, 2.0041477E+001
 1.3000000E+002, 7.5770442E+002, 3.6657201E+002, 8.5901473E+001, 3.2653716E+001, 2.1736649E+001, 2.0071018E+001
